workerid,proliferate.condition,first_response_value,item,item_number,item_type,length,response,sentence,sentence_id,trial_sequence_total,verb,wh_type,wrong_attempts,verb
4865,Experiment Group,,24,,,long,0.01,仓库管理员想知道采购员说保险代理人为什么挖苦了模特。,124142,58,说,adj,,14
4865,Experiment Group,,27,,,short,0.2,法医想知道业务员为什么说罪犯谋害了程序员。,127141,59,说,adj,,14
4865,Experiment Group,,,,,,0.01,喝着豆浆为什么的老爷爷周老板想弄明白郑科长见到了,900004,60,,,,00
4865,Experiment Group,,32,,,short,0.02,助手想知道谁坚称老师出卖了水手。,232021,61,坚称,arg,,02
4865,Experiment Group,,,,,,0,拿着烤肠为什么的小姑娘李经理想要打听陈校长见到了,900003,62,,,,00
4865,Experiment Group,,4,,,long,0.1,教授想知道工程师说秘书批评了谁。,204142,63,说,arg,,14
4865,Experiment Group,,,,,,0.97,教授认识修了桌子的工人。,900020,64,,,,02
4847,Experiment Group,,,practice_good,practice_good,,0.87,,,0,,,0,
4847,Experiment Group,,,practice_bad,practice_bad,,0.05,,,0,,,0,
4847,Experiment Group,,17,,,short,0.06,会计想知道谁保证编辑邀请了神父。,217071,1,保证,arg,,07
4847,Experiment Group,,30,,,short,0.09,舞蹈老师想知道实习生为什么坚称歌手赞美了剧作家。,130021,2,坚称,adj,,02
4847,Experiment Group,,,,,,0.1,助理自己的缺点向指出经理。,900011,3,,,,01
4847,Experiment Group,,26,,,long,0.3,制片人想知道健身教练怀疑化妆师监视了谁。,226012,4,怀疑,arg,,01
4847,Experiment Group,,,,,,0.08,领导自己的烦恼向倾诉朋友。,900009,5,,,,00
4847,Experiment Group,,,,,,0.1,基金管理员期待顾客可以成功历史学家。,900013,6,,,,01
4847,Experiment Group,,,,,,0.81,数学老师指导中学生们如何解决问题。,900031,7,,,,03
4847,Experiment Group,,3,,,short,0.66,经理想知道谁抱怨服务员接待了乞丐。,203041,8,抱怨,arg,,04
4847,Experiment Group,,,,,,0.18,戴着眼镜的博士生郑科长想要打听费叔叔看到了为什么,900006,9,,,,00
4847,Experiment Group,,,,,,0.96,教导主任鼓励学生们追求自己的梦想。,900030,10,,,,03
4847,Experiment Group,,4,,,long,0.09,教授想知道工程师否认秘书为什么批评了运动员。,104032,11,否认,adj,,03
4847,Experiment Group,,21,,,long,0.76,省长想知道药剂师重申小报记者为什么采访了税务员。,121102,12,重申,adj,,10
4847,Experiment Group,,,,,,0.9,运动员的姐姐向老师请教了一个问题。,900026,13,,,,02
4847,Experiment Group,,20,,,long,0.25,售货员想知道作曲家保证摄影师指责了谁。,220072,14,保证,arg,,07
4847,Experiment Group,,,,,,0.92,校长遇到了扛着箱子的维修员。,900018,15,,,,01
4847,Experiment Group,,5,,,short,0.91,市长想知道议员为什么认为艺术家联系了毒枭。,105121,16,认为,adj,,12
4847,Experiment Group,,2,,,short,0.19,法官想知道谁重申警察审问了学生。,202101,17,重申,arg,,10
4847,Experiment Group,,,,,,0.68,装修师傅不想见到吃了汉堡的小女孩。,900024,18,,,,02
4847,Experiment Group,,,,,,0.93,交警在马路边提醒行人要注意安全。,900029,19,,,,02
4847,Experiment Group,,,,,,0.24,文艺评论家怀疑编辑可以偷懒教授。,900015,20,,,,01
4847,Experiment Group,,14,,,short,0.39,英语老师想知道谁坚称中学生举报了店员。,214021,21,坚称,arg,,02
4847,Experiment Group,,28,,,long,0.69,丞相想知道皇上认为将军威胁了谁。,228122,22,认为,arg,,12
4847,Experiment Group,,,,,,0.92,保姆想知道老爷爷午饭到底吃了些什么。,900032,23,,,,03
4847,Experiment Group,,,,,,0.7,部长没见过吃了包子的大学生。,900021,24,,,,02
4847,Experiment Group,,,,,,0.02,买了油条为什么的小男孩刘助理希望知道马秘书瞧见了,900001,25,,,,00
4847,Experiment Group,,16,,,short,0.82,大学生想知道记者为什么抱怨音乐老师夸赞了歌手。,116041,26,抱怨,adj,,04
4847,Experiment Group,,10,,,long,0.24,导游想知道外国人重申保安袭击了谁。,210102,27,重申,arg,,10
4847,Experiment Group,,,,,,0.02,拎着袋子的小学生赵先生向人打听许厂长见到了为什么,900007,28,,,,00
4847,Experiment Group,,18,,,long,0.57,船长想知道建筑师说飞行员责备了谁。,218142,29,说,arg,,14
4847,Experiment Group,,22,,,long,0.38,顾问想知道外交官认为生物学家为什么嘲讽了哲学家。,122122,30,认为,adj,,12
4847,Experiment Group,,,,,,0.24,农业专家相信天文学家可以退休物理学家。,900016,31,,,,01
4847,Experiment Group,,,,,,0.98,顾问没注意到端着盘子的阿姨。,900023,32,,,,02
4847,Experiment Group,,9,,,long,0.31,将军想知道间谍否认士兵跟踪了谁。,209032,33,否认,arg,,03
4847,Experiment Group,,11,,,short,0.61,政客想知道医生为什么保证护士推倒了男孩。,111071,34,保证,adj,,07
4847,Experiment Group,,,,,,0.38,国家领导人批准干部可以离职翻译官。,900014,35,,,,01
4847,Experiment Group,,,,,,0.02,穿着外套的老奶奶吴处长想知道赵先生见到了为什么,900005,36,,,,00
4847,Experiment Group,,32,,,short,0.87,助手想知道谁认为老师出卖了水手。,232121,37,认为,arg,,12
4847,Experiment Group,,,,,,0.02,喝着豆浆为什么的老爷爷周老板想弄明白郑科长见到了,900004,38,,,,00
4847,Experiment Group,,,,,,0.02,端着凉皮为什么的小伙子孙市长向人打听韩村长看到了,900002,39,,,,00
4847,Experiment Group,,,,,,0.01,拿着烤肠为什么的小姑娘李经理想要打听陈校长见到了,900003,40,,,,00
4847,Experiment Group,,15,,,short,0.09,主持人想知道学者为什么重申政府官员批评了总统候选人。,115101,41,重申,adj,,10
4847,Experiment Group,,8,,,short,0.9,侦探想知道谁说飞行员羞辱了卡车司机。,208141,42,说,arg,,14
4847,Experiment Group,,,,,,0.95,部门经理的好朋友向父母倾诉了自己的烦恼。,900025,43,,,,02
4847,Experiment Group,,,,,,0.74,魏老师看到了看了报告的研究生。,900019,44,,,,01
4847,Experiment Group,,12,,,long,0.31,包工头想知道和尚怀疑播音员为什么打伤了算命先生。,112012,45,怀疑,adj,,01
4847,Experiment Group,,27,,,short,0.92,法医想知道业务员为什么说罪犯谋害了程序员。,127141,46,说,adj,,14
4847,Experiment Group,,,,,,0.92,冯阿姨瞧见了背着书包的中学生。,900017,47,,,,01
4847,Experiment Group,,,,,,0.88,村长不想见买了卡车的村民。,900022,48,,,,02
4847,Experiment Group,,1,,,long,0.25,老师想知道学生说修理工为什么打了快递员。,101142,49,说,adj,,14
4847,Experiment Group,,31,,,long,0.1,心理学家想知道大学生保证保姆为什么讨好了理发师。,131072,50,保证,adj,,07
4847,Experiment Group,,,,,,0.04,背着书包的中学生冯阿姨想了解蒋部长瞧见了为什么,900008,51,,,,00
4847,Experiment Group,,23,,,short,0.93,园丁想知道水管工为什么怀疑焊工训斥了清洁工。,123011,52,怀疑,adj,,01
4847,Experiment Group,,,,,,0.95,广告商邀请客户参加在西餐厅举办的宴会。,900028,53,,,,02
4847,Experiment Group,,7,,,long,0.92,村长想知道农民坚称电工无视了谁。,207022,54,坚称,arg,,02
4847,Experiment Group,,25,,,short,0.88,美容师想知道谁怀疑营养师吓唬了快餐店员。,225011,55,怀疑,arg,,01
4847,Experiment Group,,,,,,0.63,队员们自己的优势向隐瞒对手。,900012,56,,,,01
4847,Experiment Group,,29,,,short,0.73,编辑想知道谁否认杂技演员抚养了小女孩。,229031,57,否认,arg,,03
4847,Experiment Group,,,,,,0.78,教授认识修了桌子的工人。,900020,58,,,,02
4847,Experiment Group,,13,,,long,0.21,服务员想知道售票员坚称演说家为什么欺骗了建筑工人。,113022,59,坚称,adj,,02
4847,Experiment Group,,,,,,0.26,学生自己的问题向提出老师。,900010,60,,,,01
4847,Experiment Group,,19,,,short,0.85,经理想知道道士为什么否认和尚夸奖了乞丐。,119031,61,否认,adj,,03
4847,Experiment Group,,,,,,0.96,外科医生鼓励病人多锻炼身体。,900027,62,,,,02
4847,Experiment Group,,24,,,long,0.25,仓库管理员想知道采购员抱怨保险代理人挖苦了谁。,224042,63,抱怨,arg,,04
4847,Experiment Group,,6,,,long,0.13,检察官想知道教练员抱怨音乐家为什么开除了保镖。,106042,64,抱怨,adj,,04
4844,Experiment Group,,,practice_good,practice_good,,0.99,,,0,,,0,
4844,Experiment Group,,,practice_bad,practice_bad,,0,,,0,,,0,
4844,Experiment Group,,6,,,short,0.01,检察官想知道教练员为什么承认音乐家开除了保镖。,106051,1,承认,adj,,05
4844,Experiment Group,,9,,,short,0,将军想知道谁认同士兵跟踪了总统。,209111,2,认同,arg,,11
4844,Experiment Group,,,,,,0.01,队员们自己的优势向隐瞒对手。,900012,3,,,,01
4844,Experiment Group,,16,,,long,0.75,大学生想知道记者说音乐老师夸赞了谁。,216142,4,说,arg,,14
4844,Experiment Group,,,,,,0.02,喝着豆浆为什么的老爷爷周老板想弄明白郑科长见到了,900004,5,,,,00
4844,Experiment Group,,15,,,short,0.32,主持人想知道学者为什么说政府官员批评了总统候选人。,115141,6,说,adj,,14
4844,Experiment Group,,14,,,short,0.34,英语老师想知道谁透露中学生举报了店员。,214081,7,透露,arg,,08
4844,Experiment Group,,,,,,0.01,端着凉皮为什么的小伙子孙市长向人打听韩村长看到了,900002,8,,,,00
4844,Experiment Group,,20,,,long,0.19,售货员想知道作曲家抱怨摄影师为什么指责了心理医生。,120042,9,抱怨,adj,,04
4844,Experiment Group,,24,,,long,0.02,仓库管理员想知道采购员说保险代理人为什么挖苦了模特。,124142,10,说,adj,,14
4844,Experiment Group,,,,,,0.01,拿着烤肠为什么的小姑娘李经理想要打听陈校长见到了,900003,11,,,,00
4844,Experiment Group,,,,,,0.98,冯阿姨瞧见了背着书包的中学生。,900017,12,,,,01
4844,Experiment Group,,13,,,short,0.21,服务员想知道售票员为什么透露演说家欺骗了建筑工人。,113081,13,透露,adj,,08
4844,Experiment Group,,,,,,0.65,基金管理员期待顾客可以成功历史学家。,900013,14,,,,01
4844,Experiment Group,,31,,,long,0.03,心理学家想知道大学生透露保姆讨好了谁。,231082,15,透露,arg,,08
4844,Experiment Group,,,,,,0.02,学生自己的问题向提出老师。,900010,16,,,,01
4844,Experiment Group,,,,,,0.82,装修师傅不想见到吃了汉堡的小女孩。,900024,17,,,,02
4844,Experiment Group,,,,,,0.02,买了油条为什么的小男孩刘助理希望知道马秘书瞧见了,900001,18,,,,00
4844,Experiment Group,,26,,,long,0,制片人想知道健身教练认同化妆师为什么监视了调酒师。,126112,19,认同,adj,,11
4844,Experiment Group,,3,,,long,0.02,经理想知道厨师重申服务员为什么接待了乞丐。,103102,20,重申,adj,,10
4844,Experiment Group,,,,,,0.98,校长遇到了扛着箱子的维修员。,900018,21,,,,01
4844,Experiment Group,,2,,,long,0.06,法官想知道律师抱怨警察审问了谁。,202042,22,抱怨,arg,,04
4844,Experiment Group,,22,,,short,0.78,顾问想知道谁说生物学家嘲讽了哲学家。,222141,23,说,arg,,14
4844,Experiment Group,,,,,,0.98,教授认识修了桌子的工人。,900020,24,,,,02
4844,Experiment Group,,21,,,short,0.64,省长想知道谁抱怨小报记者采访了税务员。,221041,25,抱怨,arg,,04
4844,Experiment Group,,19,,,short,0.67,经理想知道道士为什么认为和尚夸奖了乞丐。,119121,26,认为,adj,,12
4844,Experiment Group,,,,,,0.02,农业专家相信天文学家可以退休物理学家。,900016,27,,,,01
4844,Experiment Group,,,,,,0.91,部门经理的好朋友向父母倾诉了自己的烦恼。,900025,28,,,,02
4844,Experiment Group,,27,,,long,0.64,法医想知道业务员认同罪犯谋害了谁。,227112,29,认同,arg,,11
4844,Experiment Group,,,,,,0.99,部长没见过吃了包子的大学生。,900021,30,,,,02
4844,Experiment Group,,10,,,short,0.48,导游想知道外国人为什么证实保安袭击了商贩。,110091,31,证实,adj,,09
4844,Experiment Group,,,,,,0.03,助理自己的缺点向指出经理。,900011,32,,,,01
4844,Experiment Group,,,,,,0.99,戴着眼镜的博士生郑科长想要打听费叔叔看到了为什么,900006,33,,,,00
4844,Experiment Group,,28,,,short,0.25,丞相想知道皇上为什么抱怨将军威胁了大臣。,128041,34,抱怨,adj,,04
4844,Experiment Group,,8,,,long,0.01,侦探想知道售货员承认飞行员为什么羞辱了卡车司机。,108052,35,承认,adj,,05
4844,Experiment Group,,,,,,0.98,保姆想知道老爷爷午饭到底吃了些什么。,900032,36,,,,03
4844,Experiment Group,,1,,,long,0.46,老师想知道学生认为修理工打了谁。,201122,37,认为,arg,,12
4844,Experiment Group,,,,,,0.02,文艺评论家怀疑编辑可以偷懒教授。,900015,38,,,,01
4844,Experiment Group,,4,,,long,0.26,教授想知道工程师重申秘书批评了谁。,204102,39,重申,arg,,10
4844,Experiment Group,,,,,,0.97,外科医生鼓励病人多锻炼身体。,900027,40,,,,02
4844,Experiment Group,,29,,,short,0.39,编辑想知道法务顾问为什么重申杂技演员抚养了小女孩。,129101,41,重申,adj,,10
4844,Experiment Group,,,,,,0.98,交警在马路边提醒行人要注意安全。,900029,42,,,,02
4844,Experiment Group,,,,,,0.97,魏老师看到了看了报告的研究生。,900019,43,,,,01
4844,Experiment Group,,,,,,0,国家领导人批准干部可以离职翻译官。,900014,44,,,,01
4844,Experiment Group,,18,,,long,0.03,船长想知道建筑师透露飞行员为什么责备了经济学家。,118082,45,透露,adj,,08
4844,Experiment Group,,30,,,long,0.04,舞蹈老师想知道实习生证实歌手赞美了谁。,230092,46,证实,arg,,09
4844,Experiment Group,,,,,,0.97,村长不想见买了卡车的村民。,900022,47,,,,02
4844,Experiment Group,,11,,,short,0.16,政客想知道谁重申护士推倒了男孩。,211101,48,重申,arg,,10
4844,Experiment Group,,17,,,long,0.18,会计想知道演员承认编辑邀请了谁。,217052,49,承认,arg,,05
4844,Experiment Group,,,,,,0.03,穿着外套的老奶奶吴处长想知道赵先生见到了为什么,900005,50,,,,00
4844,Experiment Group,,,,,,0.96,数学老师指导中学生们如何解决问题。,900031,51,,,,03
4844,Experiment Group,,,,,,0.99,教导主任鼓励学生们追求自己的梦想。,900030,52,,,,03
4844,Experiment Group,,,,,,0.99,运动员的姐姐向老师请教了一个问题。,900026,53,,,,02
4844,Experiment Group,,5,,,long,0.12,市长想知道议员认为艺术家为什么联系了毒枭。,105122,54,认为,adj,,12
4844,Experiment Group,,25,,,short,0.38,美容师想知道谁承认营养师吓唬了快餐店员。,225051,55,承认,arg,,05
4844,Experiment Group,,,,,,0,领导自己的烦恼向倾诉朋友。,900009,56,,,,00
4844,Experiment Group,,12,,,short,0.64,包工头想知道谁证实播音员打伤了算命先生。,212091,57,证实,arg,,09
4844,Experiment Group,,,,,,0.99,广告商邀请客户参加在西餐厅举办的宴会。,900028,58,,,,02
4844,Experiment Group,,,,,,0.98,顾问没注意到端着盘子的阿姨。,900023,59,,,,02
4844,Experiment Group,,,,,,0,拎着袋子的小学生赵先生向人打听许厂长见到了为什么,900007,60,,,,00
4844,Experiment Group,,32,,,long,0.24,助手想知道军官证实老师为什么出卖了水手。,132092,61,证实,adj,,09
4844,Experiment Group,,7,,,short,0.26,村长想知道农民为什么认同电工无视了领导。,107111,62,认同,adj,,11
4844,Experiment Group,,,,,,0.01,背着书包的中学生冯阿姨想了解蒋部长瞧见了为什么,900008,63,,,,00
4844,Experiment Group,,23,,,short,0.67,园丁想知道谁认为焊工训斥了清洁工。,223121,64,认为,arg,,12
4830,Experiment Group,,,practice_good,practice_good,,0.92,,,0,,,0,
4830,Experiment Group,,,practice_bad,practice_bad,,0,,,0,,,0,
4830,Experiment Group,,26,,,short,0.99,制片人想知道健身教练为什么怀疑化妆师监视了调酒师。,126011,1,怀疑,adj,,01
4830,Experiment Group,,,,,,0.98,保姆想知道老爷爷午饭到底吃了些什么。,900032,2,,,,03
4830,Experiment Group,,,,,,0.99,魏老师看到了看了报告的研究生。,900019,3,,,,01
4830,Experiment Group,,32,,,short,0.99,助手想知道谁抱怨老师出卖了水手。,232041,4,抱怨,arg,,04
4830,Experiment Group,,29,,,short,0.99,编辑想知道法务顾问为什么透露杂技演员抚养了小女孩。,129081,5,透露,adj,,08
4830,Experiment Group,,,,,,0.01,基金管理员期待顾客可以成功历史学家。,900013,6,,,,01
4830,Experiment Group,,,,,,0.99,部门经理的好朋友向父母倾诉了自己的烦恼。,900025,7,,,,02
4830,Experiment Group,,15,,,short,0.99,主持人想知道谁透露政府官员批评了总统候选人。,215081,8,透露,arg,,08
4830,Experiment Group,,,,,,0.99,村长不想见买了卡车的村民。,900022,9,,,,02
4830,Experiment Group,,,,,,0.97,广告商邀请客户参加在西餐厅举办的宴会。,900028,10,,,,02
4830,Experiment Group,,,,,,0.98,外科医生鼓励病人多锻炼身体。,900027,11,,,,02
4830,Experiment Group,,24,,,short,0.99,仓库管理员想知道采购员为什么说保险代理人挖苦了模特。,124141,12,说,adj,,14
4830,Experiment Group,,6,,,long,0.02,检察官想知道教练员接受音乐家为什么开除了保镖。,106062,13,接受,adj,,06
4830,Experiment Group,,,,,,0,领导自己的烦恼向倾诉朋友。,900009,14,,,,00
4830,Experiment Group,,11,,,short,0.87,政客想知道医生为什么保证护士推倒了男孩。,111071,15,保证,adj,,07
4830,Experiment Group,,,,,,0.02,拿着烤肠为什么的小姑娘李经理想要打听陈校长见到了,900003,16,,,,00
4830,Experiment Group,,2,,,long,0.99,法官想知道律师说警察审问了谁。,202142,17,说,arg,,14
4830,Experiment Group,,12,,,short,0.98,包工头想知道谁说播音员打伤了算命先生。,212141,18,说,arg,,14
4830,Experiment Group,,,,,,0.02,戴着眼镜的博士生郑科长想要打听费叔叔看到了为什么,900006,19,,,,00
4830,Experiment Group,,21,,,long,0.01,省长想知道药剂师透露小报记者为什么采访了税务员。,121082,20,透露,adj,,08
4830,Experiment Group,,,,,,0.99,数学老师指导中学生们如何解决问题。,900031,21,,,,03
4830,Experiment Group,,,,,,0.02,国家领导人批准干部可以离职翻译官。,900014,22,,,,01
4830,Experiment Group,,31,,,long,0.01,心理学家想知道大学生猜保姆为什么讨好了理发师。,131132,23,猜,adj,,13
4830,Experiment Group,,,,,,0.01,买了油条为什么的小男孩刘助理希望知道马秘书瞧见了,900001,24,,,,00
4830,Experiment Group,,10,,,long,0.98,导游想知道外国人透露保安袭击了谁。,210082,25,透露,arg,,08
4830,Experiment Group,,,,,,0.98,装修师傅不想见到吃了汉堡的小女孩。,900024,26,,,,02
4830,Experiment Group,,5,,,short,0.98,市长想知道谁猜艺术家联系了毒枭。,205131,27,猜,arg,,13
4830,Experiment Group,,17,,,long,0.44,会计想知道演员猜编辑邀请了谁。,217132,28,猜,arg,,13
4830,Experiment Group,,,,,,1,教导主任鼓励学生们追求自己的梦想。,900030,29,,,,03
4830,Experiment Group,,13,,,short,0.01,服务员想知道谁保证演说家欺骗了建筑工人。,213071,30,保证,arg,,07
4830,Experiment Group,,28,,,long,0.01,丞相想知道皇上否认将军为什么威胁了大臣。,128032,31,否认,adj,,03
4830,Experiment Group,,,,,,0.01,拎着袋子的小学生赵先生向人打听许厂长见到了为什么,900007,32,,,,00
4830,Experiment Group,,16,,,short,0.98,大学生想知道谁否认音乐老师夸赞了歌手。,216031,33,否认,arg,,03
4830,Experiment Group,,,,,,0.01,背着书包的中学生冯阿姨想了解蒋部长瞧见了为什么,900008,34,,,,00
4830,Experiment Group,,8,,,short,0.98,侦探想知道谁怀疑飞行员羞辱了卡车司机。,208011,35,怀疑,arg,,01
4830,Experiment Group,,,,,,0.98,冯阿姨瞧见了背着书包的中学生。,900017,36,,,,01
4830,Experiment Group,,,,,,0.01,队员们自己的优势向隐瞒对手。,900012,37,,,,01
4830,Experiment Group,,19,,,long,1,经理想知道道士否认和尚夸奖了谁。,219032,38,否认,arg,,03
4830,Experiment Group,,22,,,long,0.01,顾问想知道外交官保证生物学家为什么嘲讽了哲学家。,122072,39,保证,adj,,07
4830,Experiment Group,,,,,,0.02,助理自己的缺点向指出经理。,900011,40,,,,01
4830,Experiment Group,,4,,,short,0.98,教授想知道工程师为什么猜秘书批评了运动员。,104131,41,猜,adj,,13
4830,Experiment Group,,,,,,0.01,喝着豆浆为什么的老爷爷周老板想弄明白郑科长见到了,900004,42,,,,00
4830,Experiment Group,,27,,,short,0.98,法医想知道业务员为什么抱怨罪犯谋害了程序员。,127041,43,抱怨,adj,,04
4830,Experiment Group,,,,,,0.98,校长遇到了扛着箱子的维修员。,900018,44,,,,01
4830,Experiment Group,,,,,,0.99,顾问没注意到端着盘子的阿姨。,900023,45,,,,02
4830,Experiment Group,,23,,,long,0.99,园丁想知道水管工抱怨焊工训斥了谁。,223042,46,抱怨,arg,,04
4830,Experiment Group,,3,,,short,0.99,经理想知道谁接受服务员接待了乞丐。,203061,47,接受,arg,,06
4830,Experiment Group,,,,,,0.98,交警在马路边提醒行人要注意安全。,900029,48,,,,02
4830,Experiment Group,,30,,,long,0.01,舞蹈老师想知道实习生怀疑歌手为什么赞美了剧作家。,130012,49,怀疑,adj,,01
4830,Experiment Group,,1,,,long,0.91,老师想知道学生抱怨修理工为什么打了快递员。,101042,50,抱怨,adj,,04
4830,Experiment Group,,,,,,0.98,部长没见过吃了包子的大学生。,900021,51,,,,02
4830,Experiment Group,,25,,,long,0.02,美容师想知道房东说营养师为什么吓唬了快餐店员。,125142,52,说,adj,,14
4830,Experiment Group,,,,,,0.01,穿着外套的老奶奶吴处长想知道赵先生见到了为什么,900005,53,,,,00
