"","workerid","proliferate.condition","first_response_value","item","item_number","item_type","length","response","sentence","verb_id","sentence_id","trial_sequence_total","verb","wh_type","wrong_attempts","error"
"60",4647,"Experiment Group",NA,30,"","","long",0.3,"舞蹈老师想知道实习生喜欢歌手赞美了谁。",7,230072,58,"喜欢","arg",NA,NA
"61",4647,"Experiment Group",NA,18,"","","short",0.29,"船长想知道建筑师为什么觉得飞行员责备了经济学家。",2,118021,59,"觉得","adj",NA,NA
"63",4647,"Experiment Group",NA,25,"","","short",0.09,"美容师想知道谁怕营养师吓唬了快餐店员。",6,225061,61,"怕","arg",NA,NA
"66",4647,"Experiment Group",NA,22,"","","short",0.13,"顾问想知道谁想生物学家嘲讽了哲学家。",5,222051,64,"想","arg",NA,NA
"70",4509,"Experiment Group",NA,29,"","","long",0.63,"编辑想知道法务顾问怕杂技演员为什么抚养了小女孩。",6,129062,2,"怕","adj",NA,NA
"71",4509,"Experiment Group",NA,22,"","","long",0.78,"顾问想知道外交官觉得生物学家嘲讽了谁。",2,222022,3,"觉得","arg",NA,NA
"73",4509,"Experiment Group",NA,28,"","","short",0.98,"丞相想知道谁觉得将军威胁了大臣。",2,228021,5,"觉得","arg",NA,NA
"74",4509,"Experiment Group",NA,24,"","","long",0.66,"仓库管理员想知道采购员喜欢保险代理人为什么挖苦了模特。",7,124072,6,"喜欢","adj",NA,NA
"77",4509,"Experiment Group",NA,1,"","","long",0.31,"老师想知道学生怕修理工打了谁。",6,201062,9,"怕","arg",NA,NA
"78",4509,"Experiment Group",NA,7,"","","long",0.77,"村长想知道农民说电工为什么无视了领导。",1,107012,10,"说","adj",NA,NA
"80",4509,"Experiment Group",NA,18,"","","long",0.81,"船长想知道建筑师说飞行员责备了谁。",1,218012,12,"说","arg",NA,NA
"81",4509,"Experiment Group",NA,23,"","","short",0.78,"园丁想知道谁说焊工训斥了清洁工。",1,223011,13,"说","arg",NA,NA
"83",4509,"Experiment Group",NA,3,"","","short",0.32,"经理想知道谁希望服务员接待了乞丐。",3,203031,15,"希望","arg",NA,NA
"86",4509,"Experiment Group",NA,25,"","","short",0.81,"美容师想知道房东为什么认为营养师吓唬了快餐店员。",13,125131,18,"认为","adj",NA,NA
"88",4509,"Experiment Group",NA,27,"","","short",0.89,"法医想知道谁假装罪犯谋害了程序员。",10,227101,20,"假装","arg",NA,NA
"89",4509,"Experiment Group",NA,31,"","","long",0.31,"心理学家想知道大学生希望保姆为什么讨好了理发师。",3,131032,21,"希望","adj",NA,NA
"91",4509,"Experiment Group",NA,10,"","","short",0.73,"导游想知道谁认为保安袭击了商贩。",13,210131,23,"认为","arg",NA,NA
"92",4509,"Experiment Group",NA,30,"","","short",0.52,"舞蹈老师想知道谁喜欢歌手赞美了剧作家。",7,230071,24,"喜欢","arg",NA,NA
"95",4509,"Experiment Group",NA,26,"","","short",0.99,"制片人想知道健身教练为什么觉得化妆师监视了调酒师。",2,126021,27,"觉得","adj",NA,NA
"96",4509,"Experiment Group",NA,32,"","","short",1,"助手想知道军官为什么假装老师出卖了水手。",10,132101,28,"假装","adj",NA,NA
"100",4509,"Experiment Group",NA,16,"","","short",0.73,"大学生想知道记者为什么怕音乐老师夸赞了歌手。",6,116061,32,"怕","adj",NA,NA
"101",4509,"Experiment Group",NA,19,"","","short",0.49,"经理想知道道士为什么希望和尚夸奖了乞丐。",3,119031,33,"希望","adj",NA,NA
"103",4509,"Experiment Group",NA,4,"","","long",0.63,"教授想知道工程师认为秘书批评了谁。",13,204132,35,"认为","arg",NA,NA
"104",4509,"Experiment Group",NA,8,"","","short",0.4,"侦探想知道谁说明飞行员羞辱了卡车司机。",4,208041,36,"说明","arg",NA,NA
"106",4509,"Experiment Group",NA,14,"","","long",0.27,"英语老师想知道工程师说明中学生为什么举报了店员。",4,114042,38,"说明","adj",NA,NA
"107",4509,"Experiment Group",NA,21,"","","long",0.27,"省长想知道药剂师说明小报记者采访了谁。",4,221042,39,"说明","arg",NA,NA
"110",4509,"Experiment Group",NA,6,"","","long",0.71,"检察官想知道教练员觉得音乐家为什么开除了保镖。",2,106022,42,"觉得","adj",NA,NA
"111",4509,"Experiment Group",NA,20,"","","short",0.29,"售货员想知道谁怕摄影师指责了心理医生。",6,220061,43,"怕","arg",NA,NA
"113",4509,"Experiment Group",NA,12,"","","long",0.7,"包工头想知道和尚假装播音员为什么打伤了算命先生。",10,112102,45,"假装","adj",NA,NA
"114",4509,"Experiment Group",NA,15,"","","short",1,"主持人想知道学者为什么说政府官员批评了总统候选人。",1,115011,46,"说","adj",NA,NA
"117",4509,"Experiment Group",NA,5,"","","long",0.74,"市长想知道议员认为艺术家为什么联系了毒枭。",13,105132,49,"认为","adj",NA,NA
"118",4509,"Experiment Group",NA,11,"","","long",0.34,"政客想知道医生希望护士推倒了谁。",3,211032,50,"希望","arg",NA,NA
"120",4509,"Experiment Group",NA,17,"","","long",0.21,"会计想知道演员喜欢编辑邀请了谁。",7,217072,52,"喜欢","arg",NA,NA
"123",4509,"Experiment Group",NA,2,"","","long",0.5,"法官想知道律师假装警察审问了谁。",10,202102,55,"假装","arg",NA,NA
"126",4509,"Experiment Group",NA,13,"","","short",0.5,"服务员想知道售票员为什么喜欢演说家欺骗了建筑工人。",7,113071,58,"喜欢","adj",NA,NA
"129",4509,"Experiment Group",NA,9,"","","short",0.48,"将军想知道间谍为什么说明士兵跟踪了总统。",4,109041,61,"说明","adj",NA,NA
"135",4644,"Experiment Group",NA,10,"","","short",0.04,"导游想知道谁希望保安袭击了商贩。",3,210031,1,"希望","arg",NA,NA
"136",4644,"Experiment Group",NA,30,"","","short",0.82,"舞蹈老师想知道实习生为什么猜歌手赞美了剧作家。",9,130091,2,"猜","adj",NA,NA
"138",4644,"Experiment Group",NA,4,"","","long",0.15,"教授想知道工程师喜欢秘书为什么批评了运动员。",7,104072,4,"喜欢","adj",NA,NA
"139",4644,"Experiment Group",NA,13,"","","short",0.92,"服务员想知道售票员为什么感觉演说家欺骗了建筑工人。",12,113121,5,"感觉","adj",NA,NA
"141",4644,"Experiment Group",NA,20,"","","long",0.17,"售货员想知道作曲家想摄影师指责了谁。",5,220052,7,"想","arg",NA,NA
"142",4644,"Experiment Group",NA,27,"","","long",0.77,"法医想知道业务员感觉罪犯谋害了谁。",12,227122,8,"感觉","arg",NA,NA
"145",4644,"Experiment Group",NA,19,"","","long",0.09,"经理想知道道士感觉和尚为什么夸奖了乞丐。",12,119122,11,"感觉","adj",NA,NA
"146",4644,"Experiment Group",NA,28,"","","long",0.29,"丞相想知道皇上写下来将军威胁了谁。",14,228142,12,"写","arg",NA,NA
"148",4644,"Experiment Group",NA,5,"","","short",0.85,"市长想知道谁认为艺术家联系了毒枭。",13,205131,14,"认为","arg",NA,NA
"150",4644,"Experiment Group",NA,7,"","","long",0.06,"村长想知道农民想电工为什么无视了领导。",5,107052,16,"想","adj",NA,NA
"151",4644,"Experiment Group",NA,9,"","","short",0.81,"将军想知道间谍为什么写下来士兵跟踪了总统。",14,109141,17,"写","adj",NA,NA
"154",4644,"Experiment Group",NA,25,"","","short",0.36,"美容师想知道房东为什么怕营养师吓唬了快餐店员。",6,125061,20,"怕","adj",NA,NA
"156",4644,"Experiment Group",NA,15,"","","short",0.88,"主持人想知道谁猜政府官员批评了总统候选人。",9,215091,22,"猜","arg",NA,NA
"158",4644,"Experiment Group",NA,29,"","","long",0,"编辑想知道法务顾问怕杂技演员为什么抚养了小女孩。",6,129062,24,"怕","adj",NA,NA
"160",4644,"Experiment Group",NA,3,"","","long",0,"经理想知道厨师猜服务员为什么接待了乞丐。",9,103092,26,"猜","adj",NA,NA
"161",4644,"Experiment Group",NA,23,"","","short",0.7,"园丁想知道水管工为什么认为焊工训斥了清洁工。",13,123131,27,"认为","adj",NA,NA
"163",4644,"Experiment Group",NA,31,"","","short",0.74,"心理学家想知道大学生为什么想保姆讨好了理发师。",5,131051,29,"想","adj",NA,NA
"165",4644,"Experiment Group",NA,26,"","","long",0.04,"制片人想知道健身教练怕化妆师监视了谁。",6,226062,31,"怕","arg",NA,NA
"166",4644,"Experiment Group",NA,17,"","","long",0.11,"会计想知道演员认为编辑为什么邀请了神父。",13,117132,32,"认为","adj",NA,NA
"169",4644,"Experiment Group",NA,21,"","","long",0.37,"省长想知道药剂师认为小报记者采访了谁。",13,221132,35,"认为","arg",NA,NA
"171",4644,"Experiment Group",NA,22,"","","long",0.01,"顾问想知道外交官希望生物学家为什么嘲讽了哲学家。",3,122032,37,"希望","adj",NA,NA
"173",4644,"Experiment Group",NA,2,"","","long",0.81,"法官想知道律师写下来警察为什么审问了学生。",14,102142,39,"写","adj",NA,NA
"175",4644,"Experiment Group",NA,14,"","","long",0.16,"英语老师想知道工程师希望中学生举报了谁。",3,214032,41,"希望","arg",NA,NA
"177",4644,"Experiment Group",NA,6,"","","short",0.83,"检察官想知道教练员为什么希望音乐家开除了保镖。",3,106031,43,"希望","adj",NA,NA
"182",4644,"Experiment Group",NA,11,"","","long",0.57,"政客想知道医生猜护士推倒了谁。",9,211092,48,"猜","arg",NA,NA
"185",4644,"Experiment Group",NA,12,"","","long",0.13,"包工头想知道和尚喜欢播音员打伤了谁。",7,212072,51,"喜欢","arg",NA,NA
"186",4644,"Experiment Group",NA,24,"","","short",0.06,"仓库管理员想知道采购员为什么喜欢保险代理人挖苦了模特。",7,124071,52,"喜欢","adj",NA,NA
"189",4644,"Experiment Group",NA,18,"","","short",0.13,"船长想知道谁怕飞行员责备了经济学家。",6,218061,55,"怕","arg",NA,NA
"191",4644,"Experiment Group",NA,1,"","","short",0.99,"老师想知道谁写下来修理工打了快递员。",14,201141,57,"写","arg",NA,NA
"194",4644,"Experiment Group",NA,8,"","","short",0.99,"侦探想知道谁感觉飞行员羞辱了卡车司机。",12,208121,60,"感觉","arg",NA,NA
"195",4644,"Experiment Group",NA,16,"","","short",0.56,"大学生想知道谁喜欢音乐老师夸赞了歌手。",7,216071,61,"喜欢","arg",NA,NA
"197",4644,"Experiment Group",NA,32,"","","short",0.27,"助手想知道谁想老师出卖了水手。",5,232051,63,"想","arg",NA,NA
"202",4525,"Experiment Group",NA,29,"","","long",0.37,"编辑想知道法务顾问觉得杂技演员抚养了谁。",2,229022,2,"觉得","arg",NA,NA
"205",4525,"Experiment Group",NA,8,"","","short",0.83,"侦探想知道售货员为什么认为飞行员羞辱了卡车司机。",13,108131,5,"认为","adj",NA,NA
"207",4525,"Experiment Group",NA,16,"","","long",0.82,"大学生想知道记者写下来音乐老师夸赞了谁。",14,216142,7,"写","arg",NA,NA
"209",4525,"Experiment Group",NA,9,"","","long",0.19,"将军想知道间谍猜士兵为什么跟踪了总统。",9,109092,9,"猜","adj",NA,NA
"210",4525,"Experiment Group",NA,23,"","","short",0.09,"园丁想知道谁猜焊工训斥了清洁工。",9,223091,10,"猜","arg",NA,NA
"212",4525,"Experiment Group",NA,20,"","","short",0,"售货员想知道作曲家为什么喜欢摄影师指责了心理医生。",7,120071,12,"喜欢","adj",NA,NA
"215",4525,"Experiment Group",NA,18,"","","short",0.43,"船长想知道建筑师为什么怕飞行员责备了经济学家。",6,118061,15,"怕","adj",NA,NA
"216",4525,"Experiment Group",NA,7,"","","long",0.25,"村长想知道农民写下来电工为什么无视了领导。",14,107142,16,"写","adj",NA,NA
"218",4525,"Experiment Group",NA,31,"","","short",0.62,"心理学家想知道谁觉得保姆讨好了理发师。",2,231021,18,"觉得","arg",NA,NA
"219",4525,"Experiment Group",NA,22,"","","short",0.86,"顾问想知道谁认为生物学家嘲讽了哲学家。",13,222131,19,"认为","arg",NA,NA
"222",4525,"Experiment Group",NA,10,"","","short",0.3,"导游想知道谁怕保安袭击了商贩。",6,210061,22,"怕","arg",NA,NA
"223",4525,"Experiment Group",NA,15,"","","long",0.67,"主持人想知道学者认为政府官员批评了谁。",13,215132,23,"认为","arg",NA,NA
"226",4525,"Experiment Group",NA,2,"","","short",0.28,"法官想知道律师为什么想警察审问了学生。",5,102051,26,"想","adj",NA,NA
"227",4525,"Experiment Group",NA,24,"","","long",0.73,"仓库管理员想知道采购员觉得保险代理人为什么挖苦了模特。",2,124022,27,"觉得","adj",NA,NA
"229",4525,"Experiment Group",NA,30,"","","long",0,"舞蹈老师想知道实习生喜欢歌手为什么赞美了剧作家。",7,130072,29,"喜欢","adj",NA,NA
"231",4525,"Experiment Group",NA,21,"","","short",0.63,"省长想知道药剂师为什么猜小报记者采访了税务员。",9,121091,31,"猜","adj",NA,NA
"232",4525,"Experiment Group",NA,4,"","","short",0.37,"教授想知道工程师为什么写下来秘书批评了运动员。",14,104141,32,"写","adj",NA,NA
"235",4525,"Experiment Group",NA,26,"","","long",0.63,"制片人想知道健身教练猜化妆师监视了谁。",9,226092,35,"猜","arg",NA,NA
"236",4525,"Experiment Group",NA,1,"","","long",0.85,"老师想知道学生怕修理工打了谁。",6,201062,36,"怕","arg",NA,NA
"238",4525,"Experiment Group",NA,28,"","","long",0.64,"丞相想知道皇上怕将军为什么威胁了大臣。",6,128062,38,"怕","adj",NA,NA
"240",4525,"Experiment Group",NA,19,"","","short",0,"经理想知道谁写下来和尚夸奖了乞丐。",14,219141,40,"写","arg",NA,NA
"241",4525,"Experiment Group",NA,5,"","","short",0.41,"市长想知道谁想艺术家联系了毒枭。",5,205051,41,"想","arg",NA,NA
"243",4525,"Experiment Group",NA,13,"","","long",0.62,"服务员想知道售票员想演说家欺骗了谁。",5,213052,43,"想","arg",NA,NA
"245",4525,"Experiment Group",NA,25,"","","short",0.34,"美容师想知道谁喜欢营养师吓唬了快餐店员。",7,225071,45,"喜欢","arg",NA,NA
"248",4525,"Experiment Group",NA,32,"","","long",0.26,"助手想知道军官记得老师为什么出卖了水手。",8,132082,48,"记得","adj",NA,NA
"249",4525,"Experiment Group",NA,14,"","","long",0.67,"英语老师想知道工程师认为中学生为什么举报了店员。",13,114132,49,"认为","adj",NA,NA
"251",4525,"Experiment Group",NA,27,"","","long",0,"法医想知道业务员想罪犯为什么谋害了程序员。",5,127052,51,"想","adj",NA,NA
"254",4525,"Experiment Group",NA,12,"","","short",0.37,"包工头想知道谁记得播音员打伤了算命先生。",8,212081,54,"记得","arg",NA,NA
"255",4525,"Experiment Group",NA,17,"","","short",0.58,"会计想知道演员为什么记得编辑邀请了神父。",8,117081,55,"记得","adj",NA,NA
"257",4525,"Experiment Group",NA,11,"","","long",1,"政客想知道医生记得护士推倒了谁。",8,211082,57,"记得","arg",NA,NA
"262",4525,"Experiment Group",NA,6,"","","short",0.86,"检察官想知道教练员为什么觉得音乐家开除了保镖。",2,106021,62,"觉得","adj",NA,NA
"263",4525,"Experiment Group",NA,3,"","","long",0.47,"经理想知道厨师喜欢服务员接待了谁。",7,203072,63,"喜欢","arg",NA,NA
"268",4555,"Experiment Group",NA,8,"","","long",0.57,"侦探想知道售货员说飞行员为什么羞辱了卡车司机。",1,108012,2,"说","adj",NA,NA
"271",4555,"Experiment Group",NA,24,"","","short",0.55,"仓库管理员想知道谁猜保险代理人挖苦了模特。",9,224091,5,"猜","arg",NA,NA
"274",4555,"Experiment Group",NA,30,"","","long",0.56,"舞蹈老师想知道实习生写下来歌手为什么赞美了剧作家。",14,130142,8,"写","adj",NA,NA
"276",4555,"Experiment Group",NA,31,"","","long",0.56,"心理学家想知道大学生写下来保姆讨好了谁。",14,231142,10,"写","arg",NA,NA
"278",4555,"Experiment Group",NA,28,"","","short",0.99,"丞相想知道皇上为什么猜将军威胁了大臣。",9,128091,12,"猜","adj",NA,NA
"279",4555,"Experiment Group",NA,14,"","","long",0.97,"英语老师想知道工程师说中学生举报了谁。",1,214012,13,"说","arg",NA,NA
"283",4555,"Experiment Group",NA,29,"","","short",0.59,"编辑想知道谁记得杂技演员抚养了小女孩。",8,229081,17,"记得","arg",NA,NA
"285",4555,"Experiment Group",NA,6,"","","long",0.02,"检察官想知道教练员怕音乐家为什么开除了保镖。",6,106062,19,"怕","adj",NA,NA
"287",4555,"Experiment Group",NA,17,"","","short",0.41,"会计想知道谁感觉编辑邀请了神父。",12,217121,21,"感觉","arg",NA,NA
"288",4555,"Experiment Group",NA,25,"","","short",0.39,"美容师想知道谁怕营养师吓唬了快餐店员。",6,225061,22,"怕","arg",NA,NA
"290",4555,"Experiment Group",NA,23,"","","long",0.39,"园丁想知道水管工怕焊工训斥了谁。",6,223062,24,"怕","arg",NA,NA
"292",4555,"Experiment Group",NA,18,"","","short",0.54,"船长想知道建筑师为什么写下来飞行员责备了经济学家。",14,118141,26,"写","adj",NA,NA
"295",4555,"Experiment Group",NA,27,"","","short",0.91,"法医想知道业务员为什么感觉罪犯谋害了程序员。",12,127121,29,"感觉","adj",NA,NA
"297",4555,"Experiment Group",NA,4,"","","short",0.4,"教授想知道谁害怕秘书批评了运动员。",11,204111,31,"害怕","arg",NA,NA
"298",4555,"Experiment Group",NA,12,"","","short",0.6,"包工头想知道谁想播音员打伤了算命先生。",5,212051,32,"想","arg",NA,NA
"301",4555,"Experiment Group",NA,9,"","","long",0.38,"将军想知道间谍猜士兵为什么跟踪了总统。",9,109092,35,"猜","adj",NA,NA
"302",4555,"Experiment Group",NA,20,"","","short",0.25,"售货员想知道作曲家为什么想摄影师指责了心理医生。",5,120051,36,"想","adj",NA,NA
"304",4555,"Experiment Group",NA,2,"","","long",0.35,"法官想知道律师记得警察为什么审问了学生。",8,102082,38,"记得","adj",NA,NA
"305",4555,"Experiment Group",NA,3,"","","long",0.92,"经理想知道厨师感觉服务员接待了谁。",12,203122,39,"感觉","arg",NA,NA
"308",4555,"Experiment Group",NA,15,"","","long",0.4,"主持人想知道学者想政府官员为什么批评了总统候选人。",5,115052,42,"想","adj",NA,NA
"310",4555,"Experiment Group",NA,19,"","","long",0.48,"经理想知道道士害怕和尚夸奖了谁。",11,219112,44,"害怕","arg",NA,NA
"311",4555,"Experiment Group",NA,16,"","","short",0.65,"大学生想知道谁说音乐老师夸赞了歌手。",1,216011,45,"说","arg",NA,NA
"314",4555,"Experiment Group",NA,21,"","","short",0.35,"省长想知道谁写下来小报记者采访了税务员。",14,221141,48,"写","arg",NA,NA
"316",4555,"Experiment Group",NA,32,"","","short",0.35,"助手想知道军官为什么害怕老师出卖了水手。",11,132111,50,"害怕","adj",NA,NA
"318",4555,"Experiment Group",NA,10,"","","short",0.99,"导游想知道外国人为什么说保安袭击了商贩。",1,110011,52,"说","adj",NA,NA
"321",4555,"Experiment Group",NA,7,"","","short",0.79,"村长想知道农民为什么怕电工无视了领导。",6,107061,55,"怕","adj",NA,NA
"322",4555,"Experiment Group",NA,26,"","","long",0.56,"制片人想知道健身教练感觉化妆师为什么监视了调酒师。",12,126122,56,"感觉","adj",NA,NA
"324",4555,"Experiment Group",NA,1,"","","short",0.6,"老师想知道学生为什么记得修理工打了快递员。",8,101081,58,"记得","adj",NA,NA
"326",4555,"Experiment Group",NA,22,"","","long",0.17,"顾问想知道外交官想生物学家嘲讽了谁。",5,222052,60,"想","arg",NA,NA
"327",4555,"Experiment Group",NA,5,"","","long",0.72,"市长想知道议员猜艺术家联系了谁。",9,205092,61,"猜","arg",NA,NA
"329",4555,"Experiment Group",NA,13,"","","long",0.25,"服务员想知道售票员记得演说家欺骗了谁。",8,213082,63,"记得","arg",NA,NA
"330",4555,"Experiment Group",NA,11,"","","long",0.03,"政客想知道医生害怕护士为什么推倒了男孩。",11,111112,64,"害怕","adj",NA,NA
"333",4660,"Experiment Group",NA,23,"","","short",0.99,"园丁想知道水管工为什么感觉焊工训斥了清洁工。",12,123121,1,"感觉","adj",NA,NA
"334",4660,"Experiment Group",NA,25,"","","short",0.02,"美容师想知道谁希望营养师吓唬了快餐店员。",3,225031,2,"希望","arg",NA,NA
"336",4660,"Experiment Group",NA,9,"","","short",0.97,"将军想知道谁说士兵跟踪了总统。",1,209011,4,"说","arg",NA,NA
"339",4660,"Experiment Group",NA,14,"","","short",0.01,"英语老师想知道工程师为什么怕中学生举报了店员。",6,114061,7,"怕","adj",NA,NA
"340",4660,"Experiment Group",NA,28,"","","long",0,"丞相想知道皇上写下来将军威胁了谁。",14,228142,8,"写","arg",NA,NA
"343",4660,"Experiment Group",NA,30,"","","short",0,"舞蹈老师想知道谁感觉歌手赞美了剧作家。",12,230121,11,"感觉","arg",NA,NA
"344",4660,"Experiment Group",NA,2,"","","long",0.03,"法官想知道律师怕警察审问了谁。",6,202062,12,"怕","arg",NA,NA
"346",4660,"Experiment Group",NA,1,"","","long",0.99,"老师想知道学生猜修理工为什么打了快递员。",9,101092,14,"猜","adj",NA,NA
"347",4660,"Experiment Group",NA,12,"","","short",0.99,"包工头想知道谁喜欢播音员打伤了算命先生。",7,212071,15,"喜欢","arg",NA,NA
"349",4660,"Experiment Group",NA,19,"","","long",0.01,"经理想知道道士喜欢和尚为什么夸奖了乞丐。",7,119072,17,"喜欢","adj",NA,NA
"351",4660,"Experiment Group",NA,27,"","","long",0.02,"法医想知道业务员喜欢罪犯谋害了谁。",7,227072,19,"喜欢","arg",NA,NA
"352",4660,"Experiment Group",NA,6,"","","long",0,"检察官想知道教练员希望音乐家为什么开除了保镖。",3,106032,20,"希望","adj",NA,NA
"355",4660,"Experiment Group",NA,4,"","","short",0.02,"教授想知道工程师为什么记得秘书批评了运动员。",8,104081,23,"记得","adj",NA,NA
"356",4660,"Experiment Group",NA,8,"","","short",0.01,"侦探想知道谁怕飞行员羞辱了卡车司机。",6,208061,24,"怕","arg",NA,NA
"358",4660,"Experiment Group",NA,10,"","","long",1,"导游想知道外国人说保安为什么袭击了商贩。",1,110012,26,"说","adj",NA,NA
"360",4660,"Experiment Group",NA,26,"","","short",0.01,"制片人想知道健身教练为什么写下来化妆师监视了调酒师。",14,126141,28,"写","adj",NA,NA
"361",4660,"Experiment Group",NA,7,"","","long",0.98,"村长想知道农民说电工无视了谁。",1,207012,29,"说","arg",NA,NA
"363",4660,"Experiment Group",NA,29,"","","short",0.01,"编辑想知道法务顾问为什么猜杂技演员抚养了小女孩。",9,129091,31,"猜","adj",NA,NA
"368",4660,"Experiment Group",NA,20,"","","long",0.02,"售货员想知道作曲家感觉摄影师指责了谁。",12,220122,36,"感觉","arg",NA,NA
"371",4660,"Experiment Group",NA,5,"","","long",0.98,"市长想知道议员记得艺术家为什么联系了毒枭。",8,105082,39,"记得","adj",NA,NA
"372",4660,"Experiment Group",NA,13,"","","long",0.01,"服务员想知道售票员怕演说家为什么欺骗了建筑工人。",6,113062,40,"怕","adj",NA,NA
"376",4660,"Experiment Group",NA,18,"","","long",0.02,"船长想知道建筑师希望飞行员责备了谁。",3,218032,44,"希望","arg",NA,NA
"379",4660,"Experiment Group",NA,31,"","","short",0.97,"心理学家想知道谁写下来保姆讨好了理发师。",14,231141,47,"写","arg",NA,NA
"381",4660,"Experiment Group",NA,22,"","","long",0.01,"顾问想知道外交官记得生物学家嘲讽了谁。",8,222082,49,"记得","arg",NA,NA
"382",4660,"Experiment Group",NA,16,"","","short",0.99,"大学生想知道谁记得音乐老师夸赞了歌手。",8,216081,50,"记得","arg",NA,NA
"384",4660,"Experiment Group",NA,17,"","","short",0.97,"会计想知道谁猜编辑邀请了神父。",9,217091,52,"猜","arg",NA,NA
"387",4660,"Experiment Group",NA,11,"","","long",0.99,"政客想知道医生猜护士推倒了谁。",9,211092,55,"猜","arg",NA,NA
"389",4660,"Experiment Group",NA,32,"","","short",0.99,"助手想知道军官为什么喜欢老师出卖了水手。",7,132071,57,"喜欢","adj",NA,NA
