"","workerid","proliferate.condition","first_response_value","item","item_number","item_type","length","response","sentence","sentence_id","trial_sequence_total","verb","wh_type","wrong_attempts","verb.1"
"33",4865,"Experiment Group",NA,13,"","","long",0,"服务员想知道售票员抱怨演说家欺骗了谁。",213042,31,"抱怨","arg",NA,4
"35",4865,"Experiment Group",NA,20,"","","short",0.01,"售货员想知道作曲家为什么猜摄影师指责了心理医生。",120131,33,"猜","adj",NA,13
"37",4865,"Experiment Group",NA,25,"","","short",0,"美容师想知道房东为什么保证营养师吓唬了快餐店员。",125071,35,"保证","adj",NA,7
"38",4865,"Experiment Group",NA,21,"","","long",0.02,"省长想知道药剂师保证小报记者采访了谁。",221072,36,"保证","arg",NA,7
"41",4865,"Experiment Group",NA,19,"","","long",0.91,"经理想知道道士认同和尚夸奖了谁。",219112,39,"认同","arg",NA,11
"43",4865,"Experiment Group",NA,14,"","","long",0.02,"英语老师想知道工程师认同中学生为什么举报了店员。",114112,41,"认同","adj",NA,11
"44",4865,"Experiment Group",NA,2,"","","long",0,"法官想知道律师猜警察为什么审问了学生。",102132,42,"猜","adj",NA,13
"46",4865,"Experiment Group",NA,9,"","","short",0.53,"将军想知道谁认同士兵跟踪了总统。",209111,44,"认同","arg",NA,11
"47",4865,"Experiment Group",NA,31,"","","long",0.02,"心理学家想知道大学生透露保姆讨好了谁。",231082,45,"透露","arg",NA,8
"51",4865,"Experiment Group",NA,10,"","","short",0.01,"导游想知道外国人为什么坚称保安袭击了商贩。",110021,49,"坚称","adj",NA,2
"52",4865,"Experiment Group",NA,5,"","","short",0.93,"市长想知道谁证实艺术家联系了毒枭。",205091,50,"证实","arg",NA,9
"55",4865,"Experiment Group",NA,8,"","","short",0.01,"侦探想知道售货员为什么证实飞行员羞辱了卡车司机。",108091,53,"证实","adj",NA,9
"56",4865,"Experiment Group",NA,7,"","","short",0.9,"村长想知道谁透露电工无视了领导。",207081,54,"透露","arg",NA,8
"60",4865,"Experiment Group",NA,24,"","","long",0.01,"仓库管理员想知道采购员说保险代理人为什么挖苦了模特。",124142,58,"说","adj",NA,14
"61",4865,"Experiment Group",NA,27,"","","short",0.2,"法医想知道业务员为什么说罪犯谋害了程序员。",127141,59,"说","adj",NA,14
"63",4865,"Experiment Group",NA,32,"","","short",0.02,"助手想知道谁坚称老师出卖了水手。",232021,61,"坚称","arg",NA,2
"65",4865,"Experiment Group",NA,4,"","","long",0.1,"教授想知道工程师说秘书批评了谁。",204142,63,"说","arg",NA,14
"69",4847,"Experiment Group",NA,17,"","","short",0.06,"会计想知道谁保证编辑邀请了神父。",217071,1,"保证","arg",NA,7
"70",4847,"Experiment Group",NA,30,"","","short",0.09,"舞蹈老师想知道实习生为什么坚称歌手赞美了剧作家。",130021,2,"坚称","adj",NA,2
"72",4847,"Experiment Group",NA,26,"","","long",0.3,"制片人想知道健身教练怀疑化妆师监视了谁。",226012,4,"怀疑","arg",NA,1
"76",4847,"Experiment Group",NA,3,"","","short",0.66,"经理想知道谁抱怨服务员接待了乞丐。",203041,8,"抱怨","arg",NA,4
"79",4847,"Experiment Group",NA,4,"","","long",0.09,"教授想知道工程师否认秘书为什么批评了运动员。",104032,11,"否认","adj",NA,3
"80",4847,"Experiment Group",NA,21,"","","long",0.76,"省长想知道药剂师重申小报记者为什么采访了税务员。",121102,12,"重申","adj",NA,10
"82",4847,"Experiment Group",NA,20,"","","long",0.25,"售货员想知道作曲家保证摄影师指责了谁。",220072,14,"保证","arg",NA,7
"84",4847,"Experiment Group",NA,5,"","","short",0.91,"市长想知道议员为什么认为艺术家联系了毒枭。",105121,16,"认为","adj",NA,12
"85",4847,"Experiment Group",NA,2,"","","short",0.19,"法官想知道谁重申警察审问了学生。",202101,17,"重申","arg",NA,10
"89",4847,"Experiment Group",NA,14,"","","short",0.39,"英语老师想知道谁坚称中学生举报了店员。",214021,21,"坚称","arg",NA,2
"90",4847,"Experiment Group",NA,28,"","","long",0.69,"丞相想知道皇上认为将军威胁了谁。",228122,22,"认为","arg",NA,12
"94",4847,"Experiment Group",NA,16,"","","short",0.82,"大学生想知道记者为什么抱怨音乐老师夸赞了歌手。",116041,26,"抱怨","adj",NA,4
"95",4847,"Experiment Group",NA,10,"","","long",0.24,"导游想知道外国人重申保安袭击了谁。",210102,27,"重申","arg",NA,10
"97",4847,"Experiment Group",NA,18,"","","long",0.57,"船长想知道建筑师说飞行员责备了谁。",218142,29,"说","arg",NA,14
"98",4847,"Experiment Group",NA,22,"","","long",0.38,"顾问想知道外交官认为生物学家为什么嘲讽了哲学家。",122122,30,"认为","adj",NA,12
"101",4847,"Experiment Group",NA,9,"","","long",0.31,"将军想知道间谍否认士兵跟踪了谁。",209032,33,"否认","arg",NA,3
"102",4847,"Experiment Group",NA,11,"","","short",0.61,"政客想知道医生为什么保证护士推倒了男孩。",111071,34,"保证","adj",NA,7
"105",4847,"Experiment Group",NA,32,"","","short",0.87,"助手想知道谁认为老师出卖了水手。",232121,37,"认为","arg",NA,12
"109",4847,"Experiment Group",NA,15,"","","short",0.09,"主持人想知道学者为什么重申政府官员批评了总统候选人。",115101,41,"重申","adj",NA,10
"110",4847,"Experiment Group",NA,8,"","","short",0.9,"侦探想知道谁说飞行员羞辱了卡车司机。",208141,42,"说","arg",NA,14
"113",4847,"Experiment Group",NA,12,"","","long",0.31,"包工头想知道和尚怀疑播音员为什么打伤了算命先生。",112012,45,"怀疑","adj",NA,1
"114",4847,"Experiment Group",NA,27,"","","short",0.92,"法医想知道业务员为什么说罪犯谋害了程序员。",127141,46,"说","adj",NA,14
"117",4847,"Experiment Group",NA,1,"","","long",0.25,"老师想知道学生说修理工为什么打了快递员。",101142,49,"说","adj",NA,14
"118",4847,"Experiment Group",NA,31,"","","long",0.1,"心理学家想知道大学生保证保姆为什么讨好了理发师。",131072,50,"保证","adj",NA,7
"120",4847,"Experiment Group",NA,23,"","","short",0.93,"园丁想知道水管工为什么怀疑焊工训斥了清洁工。",123011,52,"怀疑","adj",NA,1
"122",4847,"Experiment Group",NA,7,"","","long",0.92,"村长想知道农民坚称电工无视了谁。",207022,54,"坚称","arg",NA,2
"123",4847,"Experiment Group",NA,25,"","","short",0.88,"美容师想知道谁怀疑营养师吓唬了快餐店员。",225011,55,"怀疑","arg",NA,1
"125",4847,"Experiment Group",NA,29,"","","short",0.73,"编辑想知道谁否认杂技演员抚养了小女孩。",229031,57,"否认","arg",NA,3
"127",4847,"Experiment Group",NA,13,"","","long",0.21,"服务员想知道售票员坚称演说家为什么欺骗了建筑工人。",113022,59,"坚称","adj",NA,2
"129",4847,"Experiment Group",NA,19,"","","short",0.85,"经理想知道道士为什么否认和尚夸奖了乞丐。",119031,61,"否认","adj",NA,3
"131",4847,"Experiment Group",NA,24,"","","long",0.25,"仓库管理员想知道采购员抱怨保险代理人挖苦了谁。",224042,63,"抱怨","arg",NA,4
"132",4847,"Experiment Group",NA,6,"","","long",0.13,"检察官想知道教练员抱怨音乐家为什么开除了保镖。",106042,64,"抱怨","adj",NA,4
"135",4844,"Experiment Group",NA,6,"","","short",0.01,"检察官想知道教练员为什么承认音乐家开除了保镖。",106051,1,"承认","adj",NA,5
"136",4844,"Experiment Group",NA,9,"","","short",0,"将军想知道谁认同士兵跟踪了总统。",209111,2,"认同","arg",NA,11
"138",4844,"Experiment Group",NA,16,"","","long",0.75,"大学生想知道记者说音乐老师夸赞了谁。",216142,4,"说","arg",NA,14
"140",4844,"Experiment Group",NA,15,"","","short",0.32,"主持人想知道学者为什么说政府官员批评了总统候选人。",115141,6,"说","adj",NA,14
"141",4844,"Experiment Group",NA,14,"","","short",0.34,"英语老师想知道谁透露中学生举报了店员。",214081,7,"透露","arg",NA,8
"143",4844,"Experiment Group",NA,20,"","","long",0.19,"售货员想知道作曲家抱怨摄影师为什么指责了心理医生。",120042,9,"抱怨","adj",NA,4
"144",4844,"Experiment Group",NA,24,"","","long",0.02,"仓库管理员想知道采购员说保险代理人为什么挖苦了模特。",124142,10,"说","adj",NA,14
"147",4844,"Experiment Group",NA,13,"","","short",0.21,"服务员想知道售票员为什么透露演说家欺骗了建筑工人。",113081,13,"透露","adj",NA,8
"149",4844,"Experiment Group",NA,31,"","","long",0.03,"心理学家想知道大学生透露保姆讨好了谁。",231082,15,"透露","arg",NA,8
"153",4844,"Experiment Group",NA,26,"","","long",0,"制片人想知道健身教练认同化妆师为什么监视了调酒师。",126112,19,"认同","adj",NA,11
"154",4844,"Experiment Group",NA,3,"","","long",0.02,"经理想知道厨师重申服务员为什么接待了乞丐。",103102,20,"重申","adj",NA,10
"156",4844,"Experiment Group",NA,2,"","","long",0.06,"法官想知道律师抱怨警察审问了谁。",202042,22,"抱怨","arg",NA,4
"157",4844,"Experiment Group",NA,22,"","","short",0.78,"顾问想知道谁说生物学家嘲讽了哲学家。",222141,23,"说","arg",NA,14
"159",4844,"Experiment Group",NA,21,"","","short",0.64,"省长想知道谁抱怨小报记者采访了税务员。",221041,25,"抱怨","arg",NA,4
"160",4844,"Experiment Group",NA,19,"","","short",0.67,"经理想知道道士为什么认为和尚夸奖了乞丐。",119121,26,"认为","adj",NA,12
"163",4844,"Experiment Group",NA,27,"","","long",0.64,"法医想知道业务员认同罪犯谋害了谁。",227112,29,"认同","arg",NA,11
"165",4844,"Experiment Group",NA,10,"","","short",0.48,"导游想知道外国人为什么证实保安袭击了商贩。",110091,31,"证实","adj",NA,9
"168",4844,"Experiment Group",NA,28,"","","short",0.25,"丞相想知道皇上为什么抱怨将军威胁了大臣。",128041,34,"抱怨","adj",NA,4
"169",4844,"Experiment Group",NA,8,"","","long",0.01,"侦探想知道售货员承认飞行员为什么羞辱了卡车司机。",108052,35,"承认","adj",NA,5
"171",4844,"Experiment Group",NA,1,"","","long",0.46,"老师想知道学生认为修理工打了谁。",201122,37,"认为","arg",NA,12
"173",4844,"Experiment Group",NA,4,"","","long",0.26,"教授想知道工程师重申秘书批评了谁。",204102,39,"重申","arg",NA,10
"175",4844,"Experiment Group",NA,29,"","","short",0.39,"编辑想知道法务顾问为什么重申杂技演员抚养了小女孩。",129101,41,"重申","adj",NA,10
"179",4844,"Experiment Group",NA,18,"","","long",0.03,"船长想知道建筑师透露飞行员为什么责备了经济学家。",118082,45,"透露","adj",NA,8
"180",4844,"Experiment Group",NA,30,"","","long",0.04,"舞蹈老师想知道实习生证实歌手赞美了谁。",230092,46,"证实","arg",NA,9
"182",4844,"Experiment Group",NA,11,"","","short",0.16,"政客想知道谁重申护士推倒了男孩。",211101,48,"重申","arg",NA,10
"183",4844,"Experiment Group",NA,17,"","","long",0.18,"会计想知道演员承认编辑邀请了谁。",217052,49,"承认","arg",NA,5
"188",4844,"Experiment Group",NA,5,"","","long",0.12,"市长想知道议员认为艺术家为什么联系了毒枭。",105122,54,"认为","adj",NA,12
"189",4844,"Experiment Group",NA,25,"","","short",0.38,"美容师想知道谁承认营养师吓唬了快餐店员。",225051,55,"承认","arg",NA,5
"191",4844,"Experiment Group",NA,12,"","","short",0.64,"包工头想知道谁证实播音员打伤了算命先生。",212091,57,"证实","arg",NA,9
"195",4844,"Experiment Group",NA,32,"","","long",0.24,"助手想知道军官证实老师为什么出卖了水手。",132092,61,"证实","adj",NA,9
"196",4844,"Experiment Group",NA,7,"","","short",0.26,"村长想知道农民为什么认同电工无视了领导。",107111,62,"认同","adj",NA,11
"198",4844,"Experiment Group",NA,23,"","","short",0.67,"园丁想知道谁认为焊工训斥了清洁工。",223121,64,"认为","arg",NA,12
"201",4830,"Experiment Group",NA,26,"","","short",0.99,"制片人想知道健身教练为什么怀疑化妆师监视了调酒师。",126011,1,"怀疑","adj",NA,1
"204",4830,"Experiment Group",NA,32,"","","short",0.99,"助手想知道谁抱怨老师出卖了水手。",232041,4,"抱怨","arg",NA,4
"205",4830,"Experiment Group",NA,29,"","","short",0.99,"编辑想知道法务顾问为什么透露杂技演员抚养了小女孩。",129081,5,"透露","adj",NA,8
"208",4830,"Experiment Group",NA,15,"","","short",0.99,"主持人想知道谁透露政府官员批评了总统候选人。",215081,8,"透露","arg",NA,8
"212",4830,"Experiment Group",NA,24,"","","short",0.99,"仓库管理员想知道采购员为什么说保险代理人挖苦了模特。",124141,12,"说","adj",NA,14
"213",4830,"Experiment Group",NA,6,"","","long",0.02,"检察官想知道教练员接受音乐家为什么开除了保镖。",106062,13,"接受","adj",NA,6
"215",4830,"Experiment Group",NA,11,"","","short",0.87,"政客想知道医生为什么保证护士推倒了男孩。",111071,15,"保证","adj",NA,7
"217",4830,"Experiment Group",NA,2,"","","long",0.99,"法官想知道律师说警察审问了谁。",202142,17,"说","arg",NA,14
"218",4830,"Experiment Group",NA,12,"","","short",0.98,"包工头想知道谁说播音员打伤了算命先生。",212141,18,"说","arg",NA,14
"220",4830,"Experiment Group",NA,21,"","","long",0.01,"省长想知道药剂师透露小报记者为什么采访了税务员。",121082,20,"透露","adj",NA,8
"223",4830,"Experiment Group",NA,31,"","","long",0.01,"心理学家想知道大学生猜保姆为什么讨好了理发师。",131132,23,"猜","adj",NA,13
"225",4830,"Experiment Group",NA,10,"","","long",0.98,"导游想知道外国人透露保安袭击了谁。",210082,25,"透露","arg",NA,8
"227",4830,"Experiment Group",NA,5,"","","short",0.98,"市长想知道谁猜艺术家联系了毒枭。",205131,27,"猜","arg",NA,13
"228",4830,"Experiment Group",NA,17,"","","long",0.44,"会计想知道演员猜编辑邀请了谁。",217132,28,"猜","arg",NA,13
"230",4830,"Experiment Group",NA,13,"","","short",0.01,"服务员想知道谁保证演说家欺骗了建筑工人。",213071,30,"保证","arg",NA,7
"231",4830,"Experiment Group",NA,28,"","","long",0.01,"丞相想知道皇上否认将军为什么威胁了大臣。",128032,31,"否认","adj",NA,3
"233",4830,"Experiment Group",NA,16,"","","short",0.98,"大学生想知道谁否认音乐老师夸赞了歌手。",216031,33,"否认","arg",NA,3
"235",4830,"Experiment Group",NA,8,"","","short",0.98,"侦探想知道谁怀疑飞行员羞辱了卡车司机。",208011,35,"怀疑","arg",NA,1
"238",4830,"Experiment Group",NA,19,"","","long",1,"经理想知道道士否认和尚夸奖了谁。",219032,38,"否认","arg",NA,3
"239",4830,"Experiment Group",NA,22,"","","long",0.01,"顾问想知道外交官保证生物学家为什么嘲讽了哲学家。",122072,39,"保证","adj",NA,7
"241",4830,"Experiment Group",NA,4,"","","short",0.98,"教授想知道工程师为什么猜秘书批评了运动员。",104131,41,"猜","adj",NA,13
"243",4830,"Experiment Group",NA,27,"","","short",0.98,"法医想知道业务员为什么抱怨罪犯谋害了程序员。",127041,43,"抱怨","adj",NA,4
"246",4830,"Experiment Group",NA,23,"","","long",0.99,"园丁想知道水管工抱怨焊工训斥了谁。",223042,46,"抱怨","arg",NA,4
"247",4830,"Experiment Group",NA,3,"","","short",0.99,"经理想知道谁接受服务员接待了乞丐。",203061,47,"接受","arg",NA,6
"249",4830,"Experiment Group",NA,30,"","","long",0.01,"舞蹈老师想知道实习生怀疑歌手为什么赞美了剧作家。",130012,49,"怀疑","adj",NA,1
"250",4830,"Experiment Group",NA,1,"","","long",0.91,"老师想知道学生抱怨修理工为什么打了快递员。",101042,50,"抱怨","adj",NA,4
"252",4830,"Experiment Group",NA,25,"","","long",0.02,"美容师想知道房东说营养师为什么吓唬了快餐店员。",125142,52,"说","adj",NA,14
"254",4830,"Experiment Group",NA,7,"","","long",0.97,"村长想知道农民接受电工无视了谁。",207062,54,"接受","arg",NA,6
"256",4830,"Experiment Group",NA,18,"","","long",0.97,"船长想知道建筑师保证飞行员责备了谁。",218072,56,"保证","arg",NA,7
"257",4830,"Experiment Group",NA,9,"","","long",0.98,"将军想知道间谍怀疑士兵跟踪了谁。",209012,57,"怀疑","arg",NA,1
"261",4830,"Experiment Group",NA,14,"","","short",0.98,"英语老师想知道工程师为什么否认中学生举报了店员。",114031,61,"否认","adj",NA,3
"262",4830,"Experiment Group",NA,20,"","","short",0.99,"售货员想知道作曲家为什么接受摄影师指责了心理医生。",120061,62,"接受","adj",NA,6
"267",4792,"Experiment Group",NA,2,"","","short",0.77,"法官想知道律师为什么说警察审问了学生。",102141,1,"说","adj",NA,14
"269",4792,"Experiment Group",NA,16,"","","long",0.52,"大学生想知道记者猜音乐老师夸赞了谁。",216132,3,"猜","arg",NA,13
"272",4792,"Experiment Group",NA,4,"","","long",0.17,"教授想知道工程师认同秘书为什么批评了运动员。",104112,6,"认同","adj",NA,11
"274",4792,"Experiment Group",NA,13,"","","short",0.47,"服务员想知道谁接受演说家欺骗了建筑工人。",213061,8,"接受","arg",NA,6
"276",4792,"Experiment Group",NA,6,"","","short",0.75,"检察官想知道教练员为什么怀疑音乐家开除了保镖。",106011,10,"怀疑","adj",NA,1
"277",4792,"Experiment Group",NA,26,"","","long",0.24,"制片人想知道健身教练怀疑化妆师为什么监视了调酒师。",126012,11,"怀疑","adj",NA,1
"279",4792,"Experiment Group",NA,25,"","","short",0.82,"美容师想知道谁坚称营养师吓唬了快餐店员。",225021,13,"坚称","arg",NA,2
"280",4792,"Experiment Group",NA,3,"","","short",0.87,"经理想知道厨师为什么认同服务员接待了乞丐。",103111,14,"认同","adj",NA,11
"282",4792,"Experiment Group",NA,17,"","","long",0.19,"会计想知道演员证实编辑为什么邀请了神父。",117092,16,"证实","adj",NA,9
"285",4792,"Experiment Group",NA,32,"","","short",0.67,"助手想知道军官为什么接受老师出卖了水手。",132061,19,"接受","adj",NA,6
"286",4792,"Experiment Group",NA,20,"","","short",0.81,"售货员想知道作曲家为什么坚称摄影师指责了心理医生。",120021,20,"坚称","adj",NA,2
"288",4792,"Experiment Group",NA,18,"","","long",0.27,"船长想知道建筑师坚称飞行员为什么责备了经济学家。",118022,22,"坚称","adj",NA,2
"290",4792,"Experiment Group",NA,15,"","","short",0.59,"主持人想知道谁猜政府官员批评了总统候选人。",215131,24,"猜","arg",NA,13
"291",4792,"Experiment Group",NA,12,"","","short",0.37,"包工头想知道和尚为什么证实播音员打伤了算命先生。",112091,25,"证实","adj",NA,9
"293",4792,"Experiment Group",NA,19,"","","long",0.16,"经理想知道道士承认和尚为什么夸奖了乞丐。",119052,27,"承认","adj",NA,5
"294",4792,"Experiment Group",NA,28,"","","short",0.2,"丞相想知道谁认同将军威胁了大臣。",228111,28,"认同","arg",NA,11
"296",4792,"Experiment Group",NA,7,"","","long",0.35,"村长想知道农民接受电工无视了谁。",207062,30,"接受","arg",NA,6
"298",4792,"Experiment Group",NA,22,"","","long",0.62,"顾问想知道外交官说生物学家嘲讽了谁。",222142,32,"说","arg",NA,14
"303",4792,"Experiment Group",NA,23,"","","long",0.7,"园丁想知道水管工坚称焊工训斥了谁。",223022,37,"坚称","arg",NA,2
"304",4792,"Experiment Group",NA,14,"","","short",0.78,"英语老师想知道谁说中学生举报了店员。",214141,38,"说","arg",NA,14
"307",4792,"Experiment Group",NA,29,"","","long",0.67,"编辑想知道法务顾问怀疑杂技演员抚养了谁。",229012,41,"怀疑","arg",NA,1
"308",4792,"Experiment Group",NA,5,"","","long",0.19,"市长想知道议员猜艺术家为什么联系了毒枭。",105132,42,"猜","adj",NA,13
"311",4792,"Experiment Group",NA,8,"","","long",0.14,"侦探想知道售货员认同飞行员羞辱了谁。",208112,45,"认同","arg",NA,11
"313",4792,"Experiment Group",NA,27,"","","short",0.54,"法医想知道谁承认罪犯谋害了程序员。",227051,47,"承认","arg",NA,5
"317",4792,"Experiment Group",NA,1,"","","short",0.87,"老师想知道谁怀疑保安打了快递员。",201011,51,"怀疑","arg",NA,1
"318",4792,"Experiment Group",NA,31,"","","short",0.48,"心理学家想知道大学生为什么猜保姆讨好了理发师。",131131,52,"猜","adj",NA,13
"320",4792,"Experiment Group",NA,24,"","","long",0.18,"仓库管理员想知道采购员接受保险代理人为什么挖苦了模特。",124062,54,"接受","adj",NA,6
"321",4792,"Experiment Group",NA,11,"","","short",0.97,"政客想知道谁证实护士推倒了男孩。",211091,55,"证实","arg",NA,9
"323",4792,"Experiment Group",NA,30,"","","long",0.3,"舞蹈老师想知道实习生证实歌手赞美了谁。",230092,57,"证实","arg",NA,9
"327",4792,"Experiment Group",NA,10,"","","short",0.55,"导游想知道外国人为什么承认保安袭击了商贩。",110051,61,"承认","adj",NA,5
"329",4792,"Experiment Group",NA,9,"","","long",0.16,"将军想知道间谍说士兵为什么跟踪了总统。",109142,63,"说","adj",NA,14
"330",4792,"Experiment Group",NA,21,"","","long",0.11,"省长想知道药剂师承认小报记者采访了谁。",221052,64,"承认","arg",NA,5
"333",4790,"Experiment Group",NA,29,"","","short",0.74,"编辑想知道谁透露杂技演员抚养了小女孩。",229081,1,"透露","arg",NA,8
"334",4790,"Experiment Group",NA,26,"","","long",0.21,"制片人想知道健身教练认为化妆师监视了谁。",226122,2,"认为","arg",NA,12
"336",4790,"Experiment Group",NA,7,"","","short",0.62,"村长想知道农民为什么透露电工无视了领导。",107081,4,"透露","adj",NA,8
"339",4790,"Experiment Group",NA,8,"","","short",0.35,"侦探想知道谁坚称飞行员羞辱了卡车司机。",208021,7,"坚称","arg",NA,2
"342",4790,"Experiment Group",NA,28,"","","long",0.4,"丞相想知道皇上认为将军为什么威胁了大臣。",128122,10,"认为","adj",NA,12
"344",4790,"Experiment Group",NA,1,"","","short",0.52,"老师想知道学生为什么坚称修理工打了快递员。",101021,12,"坚称","adj",NA,2
"349",4790,"Experiment Group",NA,15,"","","long",0.52,"主持人想知道学者透露政府官员为什么批评了总统候选人。",115082,17,"透露","adj",NA,8
"350",4790,"Experiment Group",NA,6,"","","short",0.27,"检察官想知道谁认为音乐家开除了保镖。",206121,18,"认为","arg",NA,12
"353",4790,"Experiment Group",NA,5,"","","long",0.5,"市长想知道议员怀疑艺术家为什么联系了毒枭。",105012,21,"怀疑","adj",NA,1
"355",4790,"Experiment Group",NA,22,"","","short",0.46,"顾问想知道外交官为什么抱怨生物学家嘲讽了哲学家。",122041,23,"抱怨","adj",NA,4
"357",4790,"Experiment Group",NA,4,"","","short",0.55,"教授想知道谁接受秘书批评了运动员。",204061,25,"接受","arg",NA,6
"358",4790,"Experiment Group",NA,20,"","","long",0.47,"售货员想知道作曲家说摄影师为什么指责了心理医生。",120142,26,"说","adj",NA,14
"360",4790,"Experiment Group",NA,23,"","","short",0.42,"园丁想知道水管工为什么怀疑焊工训斥了清洁工。",123011,28,"怀疑","adj",NA,1
"362",4790,"Experiment Group",NA,30,"","","long",0.43,"舞蹈老师想知道实习生否认歌手赞美了谁。",230032,30,"否认","arg",NA,3
"363",4790,"Experiment Group",NA,13,"","","long",0.3,"服务员想知道售票员接受演说家为什么欺骗了建筑工人。",113062,31,"接受","adj",NA,6
"365",4790,"Experiment Group",NA,14,"","","short",0.35,"英语老师想知道工程师为什么说中学生举报了店员。",114141,33,"说","adj",NA,14
"366",4790,"Experiment Group",NA,21,"","","long",0.58,"省长想知道药剂师接受小报记者采访了谁。",221062,34,"接受","arg",NA,6
"368",4790,"Experiment Group",NA,17,"","","long",0.32,"会计想知道演员坚称编辑为什么邀请了神父。",117022,36,"坚称","adj",NA,2
"369",4790,"Experiment Group",NA,27,"","","long",0.57,"法医想知道业务员否认罪犯为什么谋害了程序员。",127032,37,"否认","adj",NA,3
"371",4790,"Experiment Group",NA,25,"","","long",0.36,"美容师想知道房东抱怨营养师吓唬了谁。",225042,39,"抱怨","arg",NA,4
"373",4790,"Experiment Group",NA,12,"","","short",0.45,"包工头想知道和尚为什么否认播音员打伤了算命先生。",112031,41,"否认","adj",NA,3
"375",4790,"Experiment Group",NA,32,"","","short",0.85,"助手想知道谁说老师出卖了水手。",232141,43,"说","arg",NA,14
"376",4790,"Experiment Group",NA,19,"","","long",0.39,"经理想知道道士坚称和尚夸奖了谁。",219022,44,"坚称","arg",NA,2
"379",4790,"Experiment Group",NA,16,"","","short",0.42,"大学生想知道记者为什么接受音乐老师夸赞了歌手。",116061,47,"接受","adj",NA,6
"382",4790,"Experiment Group",NA,9,"","","long",0.38,"将军想知道间谍说士兵跟踪了谁。",209142,50,"说","arg",NA,14
"383",4790,"Experiment Group",NA,3,"","","short",0.62,"经理想知道厨师为什么认为服务员接待了乞丐。",103121,51,"认为","adj",NA,12
"385",4790,"Experiment Group",NA,31,"","","long",0.43,"心理学家想知道大学生怀疑保姆讨好了谁。",231012,53,"怀疑","arg",NA,1
"387",4790,"Experiment Group",NA,2,"","","long",0.53,"法官想知道律师透露警察审问了谁。",202082,55,"透露","arg",NA,8
"388",4790,"Experiment Group",NA,24,"","","long",0.38,"仓库管理员想知道采购员抱怨保险代理人为什么挖苦了模特。",124042,56,"抱怨","adj",NA,4
"392",4790,"Experiment Group",NA,10,"","","short",0.78,"导游想知道谁抱怨保安袭击了商贩。",210041,60,"抱怨","arg",NA,4
"393",4790,"Experiment Group",NA,18,"","","short",0.52,"船长想知道谁否认飞行员责备了经济学家。",218031,61,"否认","arg",NA,3
"396",4790,"Experiment Group",NA,11,"","","short",0.69,"政客想知道谁怀疑护士推倒了男孩。",211011,64,"怀疑","arg",NA,1
"399",4803,"Experiment Group",NA,4,"","","long",0.86,"教授想知道工程师认同秘书为什么批评了运动员。",104112,1,"认同","adj",NA,11
"400",4803,"Experiment Group",NA,28,"","","short",0.23,"丞相想知道皇上为什么认同将军威胁了大臣。",128111,2,"认同","adj",NA,11
"403",4803,"Experiment Group",NA,11,"","","long",0.27,"政客想知道医生重申护士推倒了谁。",211102,5,"重申","arg",NA,10
