workerid,proliferate.condition,first_response_value,item,item_number,item_type,length,response,sentence,verb_id,sentence_id,trial_sequence_total,verb,wh_type,wrong_attempts,error
4509,Experiment Group,,1,,,long,0.31,老师想知道学生怕修理工打了谁。,06,201062,9,怕,arg,,
4509,Experiment Group,,7,,,long,0.77,村长想知道农民说电工为什么无视了领导。,01,107012,10,说,adj,,
4509,Experiment Group,,,,,,0.84,冯阿姨瞧见了背着书包的中学生。,01,900017,11,,,,
4509,Experiment Group,,18,,,long,0.81,船长想知道建筑师说飞行员责备了谁。,01,218012,12,说,arg,,
4509,Experiment Group,,23,,,short,0.78,园丁想知道谁说焊工训斥了清洁工。,01,223011,13,说,arg,,
4509,Experiment Group,,,,,,0.21,喝着豆浆为什么的老爷爷周老板想弄明白郑科长见到了,00,900004,14,,,,
4509,Experiment Group,,3,,,short,0.32,经理想知道谁希望服务员接待了乞丐。,03,203031,15,希望,arg,,
4509,Experiment Group,,,,,,0.98,运动员的姐姐向老师请教了一个问题。,02,900026,16,,,,
4509,Experiment Group,,,,,,0.37,背着书包的中学生冯阿姨想了解蒋部长瞧见了为什么,00,900008,17,,,,
4509,Experiment Group,,25,,,short,0.81,美容师想知道房东为什么认为营养师吓唬了快餐店员。,13,125131,18,认为,adj,,
4509,Experiment Group,,,,,,0.27,队员们自己的优势向隐瞒对手。,01,900012,19,,,,
4509,Experiment Group,,27,,,short,0.89,法医想知道谁假装罪犯谋害了程序员。,10,227101,20,假装,arg,,
4509,Experiment Group,,31,,,long,0.31,心理学家想知道大学生希望保姆为什么讨好了理发师。,03,131032,21,希望,adj,,
4509,Experiment Group,,,,,,1,保姆想知道老爷爷午饭到底吃了些什么。,03,900032,22,,,,
4509,Experiment Group,,10,,,short,0.73,导游想知道谁认为保安袭击了商贩。,13,210131,23,认为,arg,,
4509,Experiment Group,,30,,,short,0.52,舞蹈老师想知道谁喜欢歌手赞美了剧作家。,07,230071,24,喜欢,arg,,
4509,Experiment Group,,,,,,0.86,教授认识修了桌子的工人。,02,900020,25,,,,
4509,Experiment Group,,,,,,0.99,交警在马路边提醒行人要注意安全。,02,900029,26,,,,
4509,Experiment Group,,26,,,short,0.99,制片人想知道健身教练为什么觉得化妆师监视了调酒师。,02,126021,27,觉得,adj,,
4509,Experiment Group,,32,,,short,1,助手想知道军官为什么假装老师出卖了水手。,10,132101,28,假装,adj,,
4509,Experiment Group,,,,,,1,部长没见过吃了包子的大学生。,02,900021,29,,,,
4509,Experiment Group,,,,,,0.27,基金管理员期待顾客可以成功历史学家。,01,900013,30,,,,
4509,Experiment Group,,,,,,0.98,外科医生鼓励病人多锻炼身体。,02,900027,31,,,,
4509,Experiment Group,,16,,,short,0.73,大学生想知道记者为什么怕音乐老师夸赞了歌手。,06,116061,32,怕,adj,,
4509,Experiment Group,,19,,,short,0.49,经理想知道道士为什么希望和尚夸奖了乞丐。,03,119031,33,希望,adj,,
4509,Experiment Group,,,,,,1,顾问没注意到端着盘子的阿姨。,02,900023,34,,,,
4509,Experiment Group,,4,,,long,0.63,教授想知道工程师认为秘书批评了谁。,13,204132,35,认为,arg,,
4509,Experiment Group,,8,,,short,0.4,侦探想知道谁说明飞行员羞辱了卡车司机。,04,208041,36,说明,arg,,
4509,Experiment Group,,,,,,0.28,学生自己的问题向提出老师。,01,900010,37,,,,
4509,Experiment Group,,14,,,long,0.27,英语老师想知道工程师说明中学生为什么举报了店员。,04,114042,38,说明,adj,,
4509,Experiment Group,,21,,,long,0.27,省长想知道药剂师说明小报记者采访了谁。,04,221042,39,说明,arg,,
4509,Experiment Group,,,,,,0.99,教导主任鼓励学生们追求自己的梦想。,03,900030,40,,,,
4509,Experiment Group,,,,,,0.85,校长遇到了扛着箱子的维修员。,01,900018,41,,,,
4509,Experiment Group,,6,,,long,0.71,检察官想知道教练员觉得音乐家为什么开除了保镖。,02,106022,42,觉得,adj,,
4509,Experiment Group,,20,,,short,0.29,售货员想知道谁怕摄影师指责了心理医生。,06,220061,43,怕,arg,,
4509,Experiment Group,,,,,,0.27,助理自己的缺点向指出经理。,01,900011,44,,,,
4509,Experiment Group,,12,,,long,0.7,包工头想知道和尚假装播音员为什么打伤了算命先生。,10,112102,45,假装,adj,,
4509,Experiment Group,,15,,,short,1,主持人想知道学者为什么说政府官员批评了总统候选人。,01,115011,46,说,adj,,
4509,Experiment Group,,,,,,0.28,端着凉皮为什么的小伙子孙市长向人打听韩村长看到了,00,900002,47,,,,
4509,Experiment Group,,,,,,0.5,村长不想见买了卡车的村民。,02,900022,48,,,,
4509,Experiment Group,,5,,,long,0.74,市长想知道议员认为艺术家为什么联系了毒枭。,13,105132,49,认为,adj,,
4509,Experiment Group,,11,,,long,0.34,政客想知道医生希望护士推倒了谁。,03,211032,50,希望,arg,,
4509,Experiment Group,,,,,,0.27,国家领导人批准干部可以离职翻译官。,01,900014,51,,,,
4509,Experiment Group,,17,,,long,0.21,会计想知道演员喜欢编辑邀请了谁。,07,217072,52,喜欢,arg,,
4509,Experiment Group,,,,,,0.64,数学老师指导中学生们如何解决问题。,03,900031,53,,,,
4509,Experiment Group,,,,,,0.18,穿着外套的老奶奶吴处长想知道赵先生见到了为什么,00,900005,54,,,,
4509,Experiment Group,,2,,,long,0.5,法官想知道律师假装警察审问了谁。,10,202102,55,假装,arg,,
4509,Experiment Group,,,,,,0.71,魏老师看到了看了报告的研究生。,01,900019,56,,,,
4509,Experiment Group,,,,,,0.26,戴着眼镜的博士生郑科长想要打听费叔叔看到了为什么,00,900006,57,,,,
4509,Experiment Group,,13,,,short,0.5,服务员想知道售票员为什么喜欢演说家欺骗了建筑工人。,07,113071,58,喜欢,adj,,
4509,Experiment Group,,,,,,0.2,领导自己的烦恼向倾诉朋友。,00,900009,59,,,,
4509,Experiment Group,,,,,,0.26,拎着袋子的小学生赵先生向人打听许厂长见到了为什么,00,900007,60,,,,
4509,Experiment Group,,9,,,short,0.48,将军想知道间谍为什么说明士兵跟踪了总统。,04,109041,61,说明,adj,,
4509,Experiment Group,,,,,,0.23,买了油条为什么的小男孩刘助理希望知道马秘书瞧见了,00,900001,62,,,,
4509,Experiment Group,,,,,,0.76,部门经理的好朋友向父母倾诉了自己的烦恼。,02,900025,63,,,,
4509,Experiment Group,,,,,,1,广告商邀请客户参加在西餐厅举办的宴会。,02,900028,64,,,,
4644,Experiment Group,,,practice_good,practice_good,,0.99,,,,0,,,0,
4644,Experiment Group,,,practice_bad,practice_bad,,0.08,,,,0,,,0,
4644,Experiment Group,,10,,,short,0.04,导游想知道谁希望保安袭击了商贩。,03,210031,1,希望,arg,,
4644,Experiment Group,,30,,,short,0.82,舞蹈老师想知道实习生为什么猜歌手赞美了剧作家。,09,130091,2,猜,adj,,
4644,Experiment Group,,,,,,0.1,穿着外套的老奶奶吴处长想知道赵先生见到了为什么,00,900005,3,,,,
4644,Experiment Group,,4,,,long,0.15,教授想知道工程师喜欢秘书为什么批评了运动员。,07,104072,4,喜欢,adj,,
4644,Experiment Group,,13,,,short,0.92,服务员想知道售票员为什么感觉演说家欺骗了建筑工人。,12,113121,5,感觉,adj,,
4644,Experiment Group,,,,,,0.04,背着书包的中学生冯阿姨想了解蒋部长瞧见了为什么,00,900008,6,,,,
4644,Experiment Group,,20,,,long,0.17,售货员想知道作曲家想摄影师指责了谁。,05,220052,7,想,arg,,
4644,Experiment Group,,27,,,long,0.77,法医想知道业务员感觉罪犯谋害了谁。,12,227122,8,感觉,arg,,
4644,Experiment Group,,,,,,0.02,拎着袋子的小学生赵先生向人打听许厂长见到了为什么,00,900007,9,,,,
4644,Experiment Group,,,,,,0.98,教导主任鼓励学生们追求自己的梦想。,03,900030,10,,,,
4644,Experiment Group,,19,,,long,0.09,经理想知道道士感觉和尚为什么夸奖了乞丐。,12,119122,11,感觉,adj,,
4644,Experiment Group,,28,,,long,0.29,丞相想知道皇上写下来将军威胁了谁。,14,228142,12,写,arg,,
4644,Experiment Group,,,,,,0.74,部长没见过吃了包子的大学生。,02,900021,13,,,,
4644,Experiment Group,,5,,,short,0.85,市长想知道谁认为艺术家联系了毒枭。,13,205131,14,认为,arg,,
4644,Experiment Group,,,,,,0.84,基金管理员期待顾客可以成功历史学家。,01,900013,15,,,,
4644,Experiment Group,,7,,,long,0.06,村长想知道农民想电工为什么无视了领导。,05,107052,16,想,adj,,
4644,Experiment Group,,9,,,short,0.81,将军想知道间谍为什么写下来士兵跟踪了总统。,14,109141,17,写,adj,,
4644,Experiment Group,,,,,,0.99,保姆想知道老爷爷午饭到底吃了些什么。,03,900032,18,,,,
4644,Experiment Group,,,,,,0.42,戴着眼镜的博士生郑科长想要打听费叔叔看到了为什么,00,900006,19,,,,
4644,Experiment Group,,25,,,short,0.36,美容师想知道房东为什么怕营养师吓唬了快餐店员。,06,125061,20,怕,adj,,
4644,Experiment Group,,,,,,0.04,拿着烤肠为什么的小姑娘李经理想要打听陈校长见到了,00,900003,21,,,,
4644,Experiment Group,,15,,,short,0.88,主持人想知道谁猜政府官员批评了总统候选人。,09,215091,22,猜,arg,,
4644,Experiment Group,,,,,,0.57,学生自己的问题向提出老师。,01,900010,23,,,,
4644,Experiment Group,,29,,,long,0,编辑想知道法务顾问怕杂技演员为什么抚养了小女孩。,06,129062,24,怕,adj,,
4644,Experiment Group,,,,,,0.03,文艺评论家怀疑编辑可以偷懒教授。,01,900015,25,,,,
4644,Experiment Group,,3,,,long,0,经理想知道厨师猜服务员为什么接待了乞丐。,09,103092,26,猜,adj,,
4644,Experiment Group,,23,,,short,0.7,园丁想知道水管工为什么认为焊工训斥了清洁工。,13,123131,27,认为,adj,,
4644,Experiment Group,,,,,,0.96,魏老师看到了看了报告的研究生。,01,900019,28,,,,
4644,Experiment Group,,31,,,short,0.74,心理学家想知道大学生为什么想保姆讨好了理发师。,05,131051,29,想,adj,,
4644,Experiment Group,,,,,,0.84,装修师傅不想见到吃了汉堡的小女孩。,02,900024,30,,,,
4644,Experiment Group,,26,,,long,0.04,制片人想知道健身教练怕化妆师监视了谁。,06,226062,31,怕,arg,,
4644,Experiment Group,,17,,,long,0.11,会计想知道演员认为编辑为什么邀请了神父。,13,117132,32,认为,adj,,
4644,Experiment Group,,,,,,1,数学老师指导中学生们如何解决问题。,03,900031,33,,,,
4644,Experiment Group,,,,,,1,外科医生鼓励病人多锻炼身体。,02,900027,34,,,,
4644,Experiment Group,,21,,,long,0.37,省长想知道药剂师认为小报记者采访了谁。,13,221132,35,认为,arg,,
4644,Experiment Group,,,,,,0.82,村长不想见买了卡车的村民。,02,900022,36,,,,
4644,Experiment Group,,22,,,long,0.01,顾问想知道外交官希望生物学家为什么嘲讽了哲学家。,03,122032,37,希望,adj,,
4644,Experiment Group,,,,,,0.92,顾问没注意到端着盘子的阿姨。,02,900023,38,,,,
4644,Experiment Group,,2,,,long,0.81,法官想知道律师写下来警察为什么审问了学生。,14,102142,39,写,adj,,
4644,Experiment Group,,,,,,0.02,农业专家相信天文学家可以退休物理学家。,01,900016,40,,,,
4644,Experiment Group,,14,,,long,0.16,英语老师想知道工程师希望中学生举报了谁。,03,214032,41,希望,arg,,
4644,Experiment Group,,,,,,1,部门经理的好朋友向父母倾诉了自己的烦恼。,02,900025,42,,,,
4644,Experiment Group,,6,,,short,0.83,检察官想知道教练员为什么希望音乐家开除了保镖。,03,106031,43,希望,adj,,
4644,Experiment Group,,,,,,0,领导自己的烦恼向倾诉朋友。,00,900009,44,,,,
4644,Experiment Group,,,,,,0.15,助理自己的缺点向指出经理。,01,900011,45,,,,
4644,Experiment Group,,,,,,1,广告商邀请客户参加在西餐厅举办的宴会。,02,900028,46,,,,
4644,Experiment Group,,,,,,1,冯阿姨瞧见了背着书包的中学生。,01,900017,47,,,,
4644,Experiment Group,,11,,,long,0.57,政客想知道医生猜护士推倒了谁。,09,211092,48,猜,arg,,
4644,Experiment Group,,,,,,0,买了油条为什么的小男孩刘助理希望知道马秘书瞧见了,00,900001,49,,,,
4644,Experiment Group,,,,,,0,喝着豆浆为什么的老爷爷周老板想弄明白郑科长见到了,00,900004,50,,,,
4644,Experiment Group,,12,,,long,0.13,包工头想知道和尚喜欢播音员打伤了谁。,07,212072,51,喜欢,arg,,
4644,Experiment Group,,24,,,short,0.06,仓库管理员想知道采购员为什么喜欢保险代理人挖苦了模特。,07,124071,52,喜欢,adj,,
4644,Experiment Group,,,,,,0,端着凉皮为什么的小伙子孙市长向人打听韩村长看到了,00,900002,53,,,,
4644,Experiment Group,,,,,,1,校长遇到了扛着箱子的维修员。,01,900018,54,,,,
4644,Experiment Group,,18,,,short,0.13,船长想知道谁怕飞行员责备了经济学家。,06,218061,55,怕,arg,,
4644,Experiment Group,,,,,,1,教授认识修了桌子的工人。,02,900020,56,,,,
4644,Experiment Group,,1,,,short,0.99,老师想知道谁写下来修理工打了快递员。,14,201141,57,写,arg,,
4644,Experiment Group,,,,,,0,队员们自己的优势向隐瞒对手。,01,900012,58,,,,
4644,Experiment Group,,,,,,0.98,国家领导人批准干部可以离职翻译官。,01,900014,59,,,,
4644,Experiment Group,,8,,,short,0.99,侦探想知道谁感觉飞行员羞辱了卡车司机。,12,208121,60,感觉,arg,,
4644,Experiment Group,,16,,,short,0.56,大学生想知道谁喜欢音乐老师夸赞了歌手。,07,216071,61,喜欢,arg,,
4644,Experiment Group,,,,,,1,交警在马路边提醒行人要注意安全。,02,900029,62,,,,
4644,Experiment Group,,32,,,short,0.27,助手想知道谁想老师出卖了水手。,05,232051,63,想,arg,,
4644,Experiment Group,,,,,,0.99,运动员的姐姐向老师请教了一个问题。,02,900026,64,,,,
4525,Experiment Group,,,practice_good,practice_good,,0.98,,,,0,,,0,
4525,Experiment Group,,,practice_bad,practice_bad,,0,,,,0,,,0,
4525,Experiment Group,,,,,,0.75,运动员的姐姐向老师请教了一个问题。,02,900026,1,,,,
4525,Experiment Group,,29,,,long,0.37,编辑想知道法务顾问觉得杂技演员抚养了谁。,02,229022,2,觉得,arg,,
4525,Experiment Group,,,,,,1,校长遇到了扛着箱子的维修员。,01,900018,3,,,,
4525,Experiment Group,,,,,,0.24,部长没见过吃了包子的大学生。,02,900021,4,,,,
4525,Experiment Group,,8,,,short,0.83,侦探想知道售货员为什么认为飞行员羞辱了卡车司机。,13,108131,5,认为,adj,,
4525,Experiment Group,,,,,,1,交警在马路边提醒行人要注意安全。,02,900029,6,,,,
4525,Experiment Group,,16,,,long,0.82,大学生想知道记者写下来音乐老师夸赞了谁。,14,216142,7,写,arg,,
4525,Experiment Group,,,,,,0.92,广告商邀请客户参加在西餐厅举办的宴会。,02,900028,8,,,,
4525,Experiment Group,,9,,,long,0.19,将军想知道间谍猜士兵为什么跟踪了总统。,09,109092,9,猜,adj,,
4525,Experiment Group,,23,,,short,0.09,园丁想知道谁猜焊工训斥了清洁工。,09,223091,10,猜,arg,,
4525,Experiment Group,,,,,,1,保姆想知道老爷爷午饭到底吃了些什么。,03,900032,11,,,,
4525,Experiment Group,,20,,,short,0,售货员想知道作曲家为什么喜欢摄影师指责了心理医生。,07,120071,12,喜欢,adj,,
4525,Experiment Group,,,,,,0,队员们自己的优势向隐瞒对手。,01,900012,13,,,,
4525,Experiment Group,,,,,,1,外科医生鼓励病人多锻炼身体。,02,900027,14,,,,
4525,Experiment Group,,18,,,short,0.43,船长想知道建筑师为什么怕飞行员责备了经济学家。,06,118061,15,怕,adj,,
4525,Experiment Group,,7,,,long,0.25,村长想知道农民写下来电工为什么无视了领导。,14,107142,16,写,adj,,
4525,Experiment Group,,,,,,0,拿着烤肠为什么的小姑娘李经理想要打听陈校长见到了,00,900003,17,,,,
4525,Experiment Group,,31,,,short,0.62,心理学家想知道谁觉得保姆讨好了理发师。,02,231021,18,觉得,arg,,
4525,Experiment Group,,22,,,short,0.86,顾问想知道谁认为生物学家嘲讽了哲学家。,13,222131,19,认为,arg,,
4525,Experiment Group,,,,,,0,基金管理员期待顾客可以成功历史学家。,01,900013,20,,,,
4525,Experiment Group,,,,,,1,数学老师指导中学生们如何解决问题。,03,900031,21,,,,
4525,Experiment Group,,10,,,short,0.3,导游想知道谁怕保安袭击了商贩。,06,210061,22,怕,arg,,
4525,Experiment Group,,15,,,long,0.67,主持人想知道学者认为政府官员批评了谁。,13,215132,23,认为,arg,,
4525,Experiment Group,,,,,,0.57,国家领导人批准干部可以离职翻译官。,01,900014,24,,,,
4525,Experiment Group,,,,,,0,背着书包的中学生冯阿姨想了解蒋部长瞧见了为什么,00,900008,25,,,,
4525,Experiment Group,,2,,,short,0.28,法官想知道律师为什么想警察审问了学生。,05,102051,26,想,adj,,
4525,Experiment Group,,24,,,long,0.73,仓库管理员想知道采购员觉得保险代理人为什么挖苦了模特。,02,124022,27,觉得,adj,,
4525,Experiment Group,,,,,,0.24,魏老师看到了看了报告的研究生。,01,900019,28,,,,
4525,Experiment Group,,30,,,long,0,舞蹈老师想知道实习生喜欢歌手为什么赞美了剧作家。,07,130072,29,喜欢,adj,,
4525,Experiment Group,,,,,,0,喝着豆浆为什么的老爷爷周老板想弄明白郑科长见到了,00,900004,30,,,,
4525,Experiment Group,,21,,,short,0.63,省长想知道药剂师为什么猜小报记者采访了税务员。,09,121091,31,猜,adj,,
4525,Experiment Group,,4,,,short,0.37,教授想知道工程师为什么写下来秘书批评了运动员。,14,104141,32,写,adj,,
4525,Experiment Group,,,,,,1,顾问没注意到端着盘子的阿姨。,02,900023,33,,,,
4525,Experiment Group,,,,,,0,学生自己的问题向提出老师。,01,900010,34,,,,
4525,Experiment Group,,26,,,long,0.63,制片人想知道健身教练猜化妆师监视了谁。,09,226092,35,猜,arg,,
4525,Experiment Group,,1,,,long,0.85,老师想知道学生怕修理工打了谁。,06,201062,36,怕,arg,,
4525,Experiment Group,,,,,,0.97,冯阿姨瞧见了背着书包的中学生。,01,900017,37,,,,
4525,Experiment Group,,28,,,long,0.64,丞相想知道皇上怕将军为什么威胁了大臣。,06,128062,38,怕,adj,,
4525,Experiment Group,,,,,,1,部门经理的好朋友向父母倾诉了自己的烦恼。,02,900025,39,,,,
4525,Experiment Group,,19,,,short,0,经理想知道谁写下来和尚夸奖了乞丐。,14,219141,40,写,arg,,
4525,Experiment Group,,5,,,short,0.41,市长想知道谁想艺术家联系了毒枭。,05,205051,41,想,arg,,
4525,Experiment Group,,,,,,0.92,装修师傅不想见到吃了汉堡的小女孩。,02,900024,42,,,,
4525,Experiment Group,,13,,,long,0.62,服务员想知道售票员想演说家欺骗了谁。,05,213052,43,想,arg,,
4525,Experiment Group,,,,,,1,教授认识修了桌子的工人。,02,900020,44,,,,
4525,Experiment Group,,25,,,short,0.34,美容师想知道谁喜欢营养师吓唬了快餐店员。,07,225071,45,喜欢,arg,,
4525,Experiment Group,,,,,,0.68,文艺评论家怀疑编辑可以偷懒教授。,01,900015,46,,,,
4525,Experiment Group,,,,,,1,村长不想见买了卡车的村民。,02,900022,47,,,,
4525,Experiment Group,,32,,,long,0.26,助手想知道军官记得老师为什么出卖了水手。,08,132082,48,记得,adj,,
4525,Experiment Group,,14,,,long,0.67,英语老师想知道工程师认为中学生为什么举报了店员。,13,114132,49,认为,adj,,
4525,Experiment Group,,,,,,0.31,端着凉皮为什么的小伙子孙市长向人打听韩村长看到了,00,900002,50,,,,
4525,Experiment Group,,27,,,long,0,法医想知道业务员想罪犯为什么谋害了程序员。,05,127052,51,想,adj,,
