unique_id,Lexicalization,wh_type,Verb,Length,Matrix,Emb_subj,Wh1,Emb_verb,Emb2_subj,Wh2,Emb2_verb,Emb2_object,sentence
102131,2,adj,认为,short,法官想知道,律师,为什么,认为,警察,,审问了,学生,法官想知道律师为什么认为警察审问了学生。
102132,2,adj,认为,long,法官想知道,律师,,认为,警察,为什么,审问了,学生,法官想知道律师认为警察为什么审问了学生。
102141,2,adj,写,short,法官想知道,律师,为什么,写,警察,,审问了,学生,法官想知道律师为什么写警察审问了学生。
102142,2,adj,写,long,法官想知道,律师,,写,警察,为什么,审问了,学生,法官想知道律师写警察为什么审问了学生。
103011,3,adj,说,short,经理想知道,厨师,为什么,说,服务员,,接待了,乞丐,经理想知道厨师为什么说服务员接待了乞丐。
103012,3,adj,说,long,经理想知道,厨师,,说,服务员,为什么,接待了,乞丐,经理想知道厨师说服务员为什么接待了乞丐。
103021,3,adj,觉得,short,经理想知道,厨师,为什么,觉得,服务员,,接待了,乞丐,经理想知道厨师为什么觉得服务员接待了乞丐。
103022,3,adj,觉得,long,经理想知道,厨师,,觉得,服务员,为什么,接待了,乞丐,经理想知道厨师觉得服务员为什么接待了乞丐。
103031,3,adj,希望,short,经理想知道,厨师,为什么,希望,服务员,,接待了,乞丐,经理想知道厨师为什么希望服务员接待了乞丐。
103032,3,adj,希望,long,经理想知道,厨师,,希望,服务员,为什么,接待了,乞丐,经理想知道厨师希望服务员为什么接待了乞丐。
103041,3,adj,说明,short,经理想知道,厨师,为什么,说明,服务员,,接待了,乞丐,经理想知道厨师为什么说明服务员接待了乞丐。
103042,3,adj,说明,long,经理想知道,厨师,,说明,服务员,为什么,接待了,乞丐,经理想知道厨师说明服务员为什么接待了乞丐。
103051,3,adj,想,short,经理想知道,厨师,为什么,想,服务员,,接待了,乞丐,经理想知道厨师为什么想服务员接待了乞丐。
103052,3,adj,想,long,经理想知道,厨师,,想,服务员,为什么,接待了,乞丐,经理想知道厨师想服务员为什么接待了乞丐。
103061,3,adj,怕,short,经理想知道,厨师,为什么,怕,服务员,,接待了,乞丐,经理想知道厨师为什么怕服务员接待了乞丐。
103062,3,adj,怕,long,经理想知道,厨师,,怕,服务员,为什么,接待了,乞丐,经理想知道厨师怕服务员为什么接待了乞丐。
103071,3,adj,喜欢,short,经理想知道,厨师,为什么,喜欢,服务员,,接待了,乞丐,经理想知道厨师为什么喜欢服务员接待了乞丐。
103072,3,adj,喜欢,long,经理想知道,厨师,,喜欢,服务员,为什么,接待了,乞丐,经理想知道厨师喜欢服务员为什么接待了乞丐。
103081,3,adj,记得,short,经理想知道,厨师,为什么,记得,服务员,,接待了,乞丐,经理想知道厨师为什么记得服务员接待了乞丐。
103082,3,adj,记得,long,经理想知道,厨师,,记得,服务员,为什么,接待了,乞丐,经理想知道厨师记得服务员为什么接待了乞丐。
103091,3,adj,猜,short,经理想知道,厨师,为什么,猜,服务员,,接待了,乞丐,经理想知道厨师为什么猜服务员接待了乞丐。
103092,3,adj,猜,long,经理想知道,厨师,,猜,服务员,为什么,接待了,乞丐,经理想知道厨师猜服务员为什么接待了乞丐。
103101,3,adj,假装,short,经理想知道,厨师,为什么,假装,服务员,,接待了,乞丐,经理想知道厨师为什么假装服务员接待了乞丐。
103102,3,adj,假装,long,经理想知道,厨师,,假装,服务员,为什么,接待了,乞丐,经理想知道厨师假装服务员为什么接待了乞丐。
103111,3,adj,害怕,short,经理想知道,厨师,为什么,害怕,服务员,,接待了,乞丐,经理想知道厨师为什么害怕服务员接待了乞丐。
103112,3,adj,害怕,long,经理想知道,厨师,,害怕,服务员,为什么,接待了,乞丐,经理想知道厨师害怕服务员为什么接待了乞丐。
103121,3,adj,感觉,short,经理想知道,厨师,为什么,感觉,服务员,,接待了,乞丐,经理想知道厨师为什么感觉服务员接待了乞丐。
103122,3,adj,感觉,long,经理想知道,厨师,,感觉,服务员,为什么,接待了,乞丐,经理想知道厨师感觉服务员为什么接待了乞丐。
103131,3,adj,认为,short,经理想知道,厨师,为什么,认为,服务员,,接待了,乞丐,经理想知道厨师为什么认为服务员接待了乞丐。
103132,3,adj,认为,long,经理想知道,厨师,,认为,服务员,为什么,接待了,乞丐,经理想知道厨师认为服务员为什么接待了乞丐。
103141,3,adj,写,short,经理想知道,厨师,为什么,写,服务员,,接待了,乞丐,经理想知道厨师为什么写服务员接待了乞丐。
103142,3,adj,写,long,经理想知道,厨师,,写,服务员,为什么,接待了,乞丐,经理想知道厨师写服务员为什么接待了乞丐。
104011,4,adj,说,short,教授想知道,工程师,为什么,说,秘书,,批评了,运动员,教授想知道工程师为什么说秘书批评了运动员。
104012,4,adj,说,long,教授想知道,工程师,,说,秘书,为什么,批评了,运动员,教授想知道工程师说秘书为什么批评了运动员。
104021,4,adj,觉得,short,教授想知道,工程师,为什么,觉得,秘书,,批评了,运动员,教授想知道工程师为什么觉得秘书批评了运动员。
104022,4,adj,觉得,long,教授想知道,工程师,,觉得,秘书,为什么,批评了,运动员,教授想知道工程师觉得秘书为什么批评了运动员。
104031,4,adj,希望,short,教授想知道,工程师,为什么,希望,秘书,,批评了,运动员,教授想知道工程师为什么希望秘书批评了运动员。
104032,4,adj,希望,long,教授想知道,工程师,,希望,秘书,为什么,批评了,运动员,教授想知道工程师希望秘书为什么批评了运动员。
104041,4,adj,说明,short,教授想知道,工程师,为什么,说明,秘书,,批评了,运动员,教授想知道工程师为什么说明秘书批评了运动员。
104042,4,adj,说明,long,教授想知道,工程师,,说明,秘书,为什么,批评了,运动员,教授想知道工程师说明秘书为什么批评了运动员。
104051,4,adj,想,short,教授想知道,工程师,为什么,想,秘书,,批评了,运动员,教授想知道工程师为什么想秘书批评了运动员。
104052,4,adj,想,long,教授想知道,工程师,,想,秘书,为什么,批评了,运动员,教授想知道工程师想秘书为什么批评了运动员。
104061,4,adj,怕,short,教授想知道,工程师,为什么,怕,秘书,,批评了,运动员,教授想知道工程师为什么怕秘书批评了运动员。
104062,4,adj,怕,long,教授想知道,工程师,,怕,秘书,为什么,批评了,运动员,教授想知道工程师怕秘书为什么批评了运动员。
104071,4,adj,喜欢,short,教授想知道,工程师,为什么,喜欢,秘书,,批评了,运动员,教授想知道工程师为什么喜欢秘书批评了运动员。
104072,4,adj,喜欢,long,教授想知道,工程师,,喜欢,秘书,为什么,批评了,运动员,教授想知道工程师喜欢秘书为什么批评了运动员。
104081,4,adj,记得,short,教授想知道,工程师,为什么,记得,秘书,,批评了,运动员,教授想知道工程师为什么记得秘书批评了运动员。
104082,4,adj,记得,long,教授想知道,工程师,,记得,秘书,为什么,批评了,运动员,教授想知道工程师记得秘书为什么批评了运动员。
104091,4,adj,猜,short,教授想知道,工程师,为什么,猜,秘书,,批评了,运动员,教授想知道工程师为什么猜秘书批评了运动员。
104092,4,adj,猜,long,教授想知道,工程师,,猜,秘书,为什么,批评了,运动员,教授想知道工程师猜秘书为什么批评了运动员。
104101,4,adj,假装,short,教授想知道,工程师,为什么,假装,秘书,,批评了,运动员,教授想知道工程师为什么假装秘书批评了运动员。
104102,4,adj,假装,long,教授想知道,工程师,,假装,秘书,为什么,批评了,运动员,教授想知道工程师假装秘书为什么批评了运动员。
104111,4,adj,害怕,short,教授想知道,工程师,为什么,害怕,秘书,,批评了,运动员,教授想知道工程师为什么害怕秘书批评了运动员。
104112,4,adj,害怕,long,教授想知道,工程师,,害怕,秘书,为什么,批评了,运动员,教授想知道工程师害怕秘书为什么批评了运动员。
104121,4,adj,感觉,short,教授想知道,工程师,为什么,感觉,秘书,,批评了,运动员,教授想知道工程师为什么感觉秘书批评了运动员。
104122,4,adj,感觉,long,教授想知道,工程师,,感觉,秘书,为什么,批评了,运动员,教授想知道工程师感觉秘书为什么批评了运动员。
104131,4,adj,认为,short,教授想知道,工程师,为什么,认为,秘书,,批评了,运动员,教授想知道工程师为什么认为秘书批评了运动员。
104132,4,adj,认为,long,教授想知道,工程师,,认为,秘书,为什么,批评了,运动员,教授想知道工程师认为秘书为什么批评了运动员。
104141,4,adj,写,short,教授想知道,工程师,为什么,写,秘书,,批评了,运动员,教授想知道工程师为什么写秘书批评了运动员。
104142,4,adj,写,long,教授想知道,工程师,,写,秘书,为什么,批评了,运动员,教授想知道工程师写秘书为什么批评了运动员。
105011,5,adj,说,short,市长想知道,议员,为什么,说,艺术家,,联系了,毒枭,市长想知道议员为什么说艺术家联系了毒枭。
105012,5,adj,说,long,市长想知道,议员,,说,艺术家,为什么,联系了,毒枭,市长想知道议员说艺术家为什么联系了毒枭。
105021,5,adj,觉得,short,市长想知道,议员,为什么,觉得,艺术家,,联系了,毒枭,市长想知道议员为什么觉得艺术家联系了毒枭。
105022,5,adj,觉得,long,市长想知道,议员,,觉得,艺术家,为什么,联系了,毒枭,市长想知道议员觉得艺术家为什么联系了毒枭。
105031,5,adj,希望,short,市长想知道,议员,为什么,希望,艺术家,,联系了,毒枭,市长想知道议员为什么希望艺术家联系了毒枭。
105032,5,adj,希望,long,市长想知道,议员,,希望,艺术家,为什么,联系了,毒枭,市长想知道议员希望艺术家为什么联系了毒枭。
105041,5,adj,说明,short,市长想知道,议员,为什么,说明,艺术家,,联系了,毒枭,市长想知道议员为什么说明艺术家联系了毒枭。
105042,5,adj,说明,long,市长想知道,议员,,说明,艺术家,为什么,联系了,毒枭,市长想知道议员说明艺术家为什么联系了毒枭。
105051,5,adj,想,short,市长想知道,议员,为什么,想,艺术家,,联系了,毒枭,市长想知道议员为什么想艺术家联系了毒枭。
105052,5,adj,想,long,市长想知道,议员,,想,艺术家,为什么,联系了,毒枭,市长想知道议员想艺术家为什么联系了毒枭。
105061,5,adj,怕,short,市长想知道,议员,为什么,怕,艺术家,,联系了,毒枭,市长想知道议员为什么怕艺术家联系了毒枭。
105062,5,adj,怕,long,市长想知道,议员,,怕,艺术家,为什么,联系了,毒枭,市长想知道议员怕艺术家为什么联系了毒枭。
105071,5,adj,喜欢,short,市长想知道,议员,为什么,喜欢,艺术家,,联系了,毒枭,市长想知道议员为什么喜欢艺术家联系了毒枭。
105072,5,adj,喜欢,long,市长想知道,议员,,喜欢,艺术家,为什么,联系了,毒枭,市长想知道议员喜欢艺术家为什么联系了毒枭。
105081,5,adj,记得,short,市长想知道,议员,为什么,记得,艺术家,,联系了,毒枭,市长想知道议员为什么记得艺术家联系了毒枭。
105082,5,adj,记得,long,市长想知道,议员,,记得,艺术家,为什么,联系了,毒枭,市长想知道议员记得艺术家为什么联系了毒枭。
105091,5,adj,猜,short,市长想知道,议员,为什么,猜,艺术家,,联系了,毒枭,市长想知道议员为什么猜艺术家联系了毒枭。
105092,5,adj,猜,long,市长想知道,议员,,猜,艺术家,为什么,联系了,毒枭,市长想知道议员猜艺术家为什么联系了毒枭。
105101,5,adj,假装,short,市长想知道,议员,为什么,假装,艺术家,,联系了,毒枭,市长想知道议员为什么假装艺术家联系了毒枭。
105102,5,adj,假装,long,市长想知道,议员,,假装,艺术家,为什么,联系了,毒枭,市长想知道议员假装艺术家为什么联系了毒枭。
105111,5,adj,害怕,short,市长想知道,议员,为什么,害怕,艺术家,,联系了,毒枭,市长想知道议员为什么害怕艺术家联系了毒枭。
105112,5,adj,害怕,long,市长想知道,议员,,害怕,艺术家,为什么,联系了,毒枭,市长想知道议员害怕艺术家为什么联系了毒枭。
105121,5,adj,感觉,short,市长想知道,议员,为什么,感觉,艺术家,,联系了,毒枭,市长想知道议员为什么感觉艺术家联系了毒枭。
105122,5,adj,感觉,long,市长想知道,议员,,感觉,艺术家,为什么,联系了,毒枭,市长想知道议员感觉艺术家为什么联系了毒枭。
105131,5,adj,认为,short,市长想知道,议员,为什么,认为,艺术家,,联系了,毒枭,市长想知道议员为什么认为艺术家联系了毒枭。
105132,5,adj,认为,long,市长想知道,议员,,认为,艺术家,为什么,联系了,毒枭,市长想知道议员认为艺术家为什么联系了毒枭。
105141,5,adj,写,short,市长想知道,议员,为什么,写,艺术家,,联系了,毒枭,市长想知道议员为什么写艺术家联系了毒枭。
105142,5,adj,写,long,市长想知道,议员,,写,艺术家,为什么,联系了,毒枭,市长想知道议员写艺术家为什么联系了毒枭。
106011,6,adj,说,short,检察官想知道,教练员,为什么,说,音乐家,,开除了,保镖,检察官想知道教练员为什么说音乐家开除了保镖。
106012,6,adj,说,long,检察官想知道,教练员,,说,音乐家,为什么,开除了,保镖,检察官想知道教练员说音乐家为什么开除了保镖。
106021,6,adj,觉得,short,检察官想知道,教练员,为什么,觉得,音乐家,,开除了,保镖,检察官想知道教练员为什么觉得音乐家开除了保镖。
106022,6,adj,觉得,long,检察官想知道,教练员,,觉得,音乐家,为什么,开除了,保镖,检察官想知道教练员觉得音乐家为什么开除了保镖。
106031,6,adj,希望,short,检察官想知道,教练员,为什么,希望,音乐家,,开除了,保镖,检察官想知道教练员为什么希望音乐家开除了保镖。
106032,6,adj,希望,long,检察官想知道,教练员,,希望,音乐家,为什么,开除了,保镖,检察官想知道教练员希望音乐家为什么开除了保镖。
106041,6,adj,说明,short,检察官想知道,教练员,为什么,说明,音乐家,,开除了,保镖,检察官想知道教练员为什么说明音乐家开除了保镖。
106042,6,adj,说明,long,检察官想知道,教练员,,说明,音乐家,为什么,开除了,保镖,检察官想知道教练员说明音乐家为什么开除了保镖。
106051,6,adj,想,short,检察官想知道,教练员,为什么,想,音乐家,,开除了,保镖,检察官想知道教练员为什么想音乐家开除了保镖。
106052,6,adj,想,long,检察官想知道,教练员,,想,音乐家,为什么,开除了,保镖,检察官想知道教练员想音乐家为什么开除了保镖。
106061,6,adj,怕,short,检察官想知道,教练员,为什么,怕,音乐家,,开除了,保镖,检察官想知道教练员为什么怕音乐家开除了保镖。
106062,6,adj,怕,long,检察官想知道,教练员,,怕,音乐家,为什么,开除了,保镖,检察官想知道教练员怕音乐家为什么开除了保镖。
106071,6,adj,喜欢,short,检察官想知道,教练员,为什么,喜欢,音乐家,,开除了,保镖,检察官想知道教练员为什么喜欢音乐家开除了保镖。
106072,6,adj,喜欢,long,检察官想知道,教练员,,喜欢,音乐家,为什么,开除了,保镖,检察官想知道教练员喜欢音乐家为什么开除了保镖。
106081,6,adj,记得,short,检察官想知道,教练员,为什么,记得,音乐家,,开除了,保镖,检察官想知道教练员为什么记得音乐家开除了保镖。
106082,6,adj,记得,long,检察官想知道,教练员,,记得,音乐家,为什么,开除了,保镖,检察官想知道教练员记得音乐家为什么开除了保镖。
106091,6,adj,猜,short,检察官想知道,教练员,为什么,猜,音乐家,,开除了,保镖,检察官想知道教练员为什么猜音乐家开除了保镖。
106092,6,adj,猜,long,检察官想知道,教练员,,猜,音乐家,为什么,开除了,保镖,检察官想知道教练员猜音乐家为什么开除了保镖。
106101,6,adj,假装,short,检察官想知道,教练员,为什么,假装,音乐家,,开除了,保镖,检察官想知道教练员为什么假装音乐家开除了保镖。
106102,6,adj,假装,long,检察官想知道,教练员,,假装,音乐家,为什么,开除了,保镖,检察官想知道教练员假装音乐家为什么开除了保镖。
106111,6,adj,害怕,short,检察官想知道,教练员,为什么,害怕,音乐家,,开除了,保镖,检察官想知道教练员为什么害怕音乐家开除了保镖。
106112,6,adj,害怕,long,检察官想知道,教练员,,害怕,音乐家,为什么,开除了,保镖,检察官想知道教练员害怕音乐家为什么开除了保镖。
106121,6,adj,感觉,short,检察官想知道,教练员,为什么,感觉,音乐家,,开除了,保镖,检察官想知道教练员为什么感觉音乐家开除了保镖。
106122,6,adj,感觉,long,检察官想知道,教练员,,感觉,音乐家,为什么,开除了,保镖,检察官想知道教练员感觉音乐家为什么开除了保镖。
106131,6,adj,认为,short,检察官想知道,教练员,为什么,认为,音乐家,,开除了,保镖,检察官想知道教练员为什么认为音乐家开除了保镖。
106132,6,adj,认为,long,检察官想知道,教练员,,认为,音乐家,为什么,开除了,保镖,检察官想知道教练员认为音乐家为什么开除了保镖。
106141,6,adj,写,short,检察官想知道,教练员,为什么,写,音乐家,,开除了,保镖,检察官想知道教练员为什么写音乐家开除了保镖。
106142,6,adj,写,long,检察官想知道,教练员,,写,音乐家,为什么,开除了,保镖,检察官想知道教练员写音乐家为什么开除了保镖。
107011,7,adj,说,short,村长想知道,农民,为什么,说,电工,,无视了,领导,村长想知道农民为什么说电工无视了领导。
107012,7,adj,说,long,村长想知道,农民,,说,电工,为什么,无视了,领导,村长想知道农民说电工为什么无视了领导。
107021,7,adj,觉得,short,村长想知道,农民,为什么,觉得,电工,,无视了,领导,村长想知道农民为什么觉得电工无视了领导。
107022,7,adj,觉得,long,村长想知道,农民,,觉得,电工,为什么,无视了,领导,村长想知道农民觉得电工为什么无视了领导。
107031,7,adj,希望,short,村长想知道,农民,为什么,希望,电工,,无视了,领导,村长想知道农民为什么希望电工无视了领导。
107032,7,adj,希望,long,村长想知道,农民,,希望,电工,为什么,无视了,领导,村长想知道农民希望电工为什么无视了领导。
107041,7,adj,说明,short,村长想知道,农民,为什么,说明,电工,,无视了,领导,村长想知道农民为什么说明电工无视了领导。
107042,7,adj,说明,long,村长想知道,农民,,说明,电工,为什么,无视了,领导,村长想知道农民说明电工为什么无视了领导。
107051,7,adj,想,short,村长想知道,农民,为什么,想,电工,,无视了,领导,村长想知道农民为什么想电工无视了领导。
107052,7,adj,想,long,村长想知道,农民,,想,电工,为什么,无视了,领导,村长想知道农民想电工为什么无视了领导。
107061,7,adj,怕,short,村长想知道,农民,为什么,怕,电工,,无视了,领导,村长想知道农民为什么怕电工无视了领导。
107062,7,adj,怕,long,村长想知道,农民,,怕,电工,为什么,无视了,领导,村长想知道农民怕电工为什么无视了领导。
107071,7,adj,喜欢,short,村长想知道,农民,为什么,喜欢,电工,,无视了,领导,村长想知道农民为什么喜欢电工无视了领导。
107072,7,adj,喜欢,long,村长想知道,农民,,喜欢,电工,为什么,无视了,领导,村长想知道农民喜欢电工为什么无视了领导。
107081,7,adj,记得,short,村长想知道,农民,为什么,记得,电工,,无视了,领导,村长想知道农民为什么记得电工无视了领导。
107082,7,adj,记得,long,村长想知道,农民,,记得,电工,为什么,无视了,领导,村长想知道农民记得电工为什么无视了领导。
107091,7,adj,猜,short,村长想知道,农民,为什么,猜,电工,,无视了,领导,村长想知道农民为什么猜电工无视了领导。
107092,7,adj,猜,long,村长想知道,农民,,猜,电工,为什么,无视了,领导,村长想知道农民猜电工为什么无视了领导。
107101,7,adj,假装,short,村长想知道,农民,为什么,假装,电工,,无视了,领导,村长想知道农民为什么假装电工无视了领导。
107102,7,adj,假装,long,村长想知道,农民,,假装,电工,为什么,无视了,领导,村长想知道农民假装电工为什么无视了领导。
107111,7,adj,害怕,short,村长想知道,农民,为什么,害怕,电工,,无视了,领导,村长想知道农民为什么害怕电工无视了领导。
107112,7,adj,害怕,long,村长想知道,农民,,害怕,电工,为什么,无视了,领导,村长想知道农民害怕电工为什么无视了领导。
107121,7,adj,感觉,short,村长想知道,农民,为什么,感觉,电工,,无视了,领导,村长想知道农民为什么感觉电工无视了领导。
107122,7,adj,感觉,long,村长想知道,农民,,感觉,电工,为什么,无视了,领导,村长想知道农民感觉电工为什么无视了领导。
107131,7,adj,认为,short,村长想知道,农民,为什么,认为,电工,,无视了,领导,村长想知道农民为什么认为电工无视了领导。
107132,7,adj,认为,long,村长想知道,农民,,认为,电工,为什么,无视了,领导,村长想知道农民认为电工为什么无视了领导。
107141,7,adj,写,short,村长想知道,农民,为什么,写,电工,,无视了,领导,村长想知道农民为什么写电工无视了领导。
107142,7,adj,写,long,村长想知道,农民,,写,电工,为什么,无视了,领导,村长想知道农民写电工为什么无视了领导。
108011,8,adj,说,short,侦探想知道,售货员,为什么,说,飞行员,,羞辱了,卡车司机,侦探想知道售货员为什么说飞行员羞辱了卡车司机。
108012,8,adj,说,long,侦探想知道,售货员,,说,飞行员,为什么,羞辱了,卡车司机,侦探想知道售货员说飞行员为什么羞辱了卡车司机。
108021,8,adj,觉得,short,侦探想知道,售货员,为什么,觉得,飞行员,,羞辱了,卡车司机,侦探想知道售货员为什么觉得飞行员羞辱了卡车司机。
108022,8,adj,觉得,long,侦探想知道,售货员,,觉得,飞行员,为什么,羞辱了,卡车司机,侦探想知道售货员觉得飞行员为什么羞辱了卡车司机。
108031,8,adj,希望,short,侦探想知道,售货员,为什么,希望,飞行员,,羞辱了,卡车司机,侦探想知道售货员为什么希望飞行员羞辱了卡车司机。
108032,8,adj,希望,long,侦探想知道,售货员,,希望,飞行员,为什么,羞辱了,卡车司机,侦探想知道售货员希望飞行员为什么羞辱了卡车司机。
108041,8,adj,说明,short,侦探想知道,售货员,为什么,说明,飞行员,,羞辱了,卡车司机,侦探想知道售货员为什么说明飞行员羞辱了卡车司机。
108042,8,adj,说明,long,侦探想知道,售货员,,说明,飞行员,为什么,羞辱了,卡车司机,侦探想知道售货员说明飞行员为什么羞辱了卡车司机。
108051,8,adj,想,short,侦探想知道,售货员,为什么,想,飞行员,,羞辱了,卡车司机,侦探想知道售货员为什么想飞行员羞辱了卡车司机。
108052,8,adj,想,long,侦探想知道,售货员,,想,飞行员,为什么,羞辱了,卡车司机,侦探想知道售货员想飞行员为什么羞辱了卡车司机。
